OD,CarbonSource,Donor,BaseMedia
0.338,Glycerol,1,BHI_10
0.333,Glycerol,5,BHI_10
0.2635,Glycerol,6,BHI_10
0.3405,Glycerol,3,BHI_10
0.3185,Glycerol,4,BHI_10
0.278,Glycerol,7,BHI_10
0.2845,Glycerol,2,BHI_10
0,Glycerol,8,BHI_10
0.1995,Acetate,1,BHI_10
0.178,Acetate,5,BHI_10
0.1725,Acetate,6,BHI_10
0.159,Acetate,3,BHI_10
0.1965,Acetate,4,BHI_10
0.2025,Acetate,7,BHI_10
0.225,Acetate,2,BHI_10
0.2035,Acetate,8,BHI_10
0.2195,ddH2O,1,BHI_10
0.205,ddH2O,5,BHI_10
0.2155,ddH2O,6,BHI_10
0.1965,ddH2O,3,BHI_10
0.2175,ddH2O,4,BHI_10
0.188,ddH2O,7,BHI_10
0.207,ddH2O,2,BHI_10
0.2135,ddH2O,8,BHI_10
0.212,Succinate,1,BHI_10
0.21,Succinate,5,BHI_10
0.189,Succinate,6,BHI_10
0.1885,Succinate,3,BHI_10
0.2235,Succinate,4,BHI_10
0.2215,Succinate,7,BHI_10
0.227,Succinate,2,BHI_10
0.231,Succinate,8,BHI_10
0.2215,Oxaloacetate,1,BHI_10
0.269,Oxaloacetate,5,BHI_10
0.271,Oxaloacetate,6,BHI_10
0.278,Oxaloacetate,3,BHI_10
0.247,Oxaloacetate,4,BHI_10
0.286,Oxaloacetate,7,BHI_10
0.279,Oxaloacetate,2,BHI_10
0.314,Oxaloacetate,8,BHI_10
0.2235,Citrate,1,BHI_10
0.29,Citrate,5,BHI_10
0.265,Citrate,6,BHI_10
0.2455,Citrate,3,BHI_10
0.2705,Citrate,4,BHI_10
0.275,Citrate,7,BHI_10
0.2775,Citrate,2,BHI_10
0.331,Citrate,8,BHI_10
0.255,Fumarate,1,BHI_10
0.293,Fumarate,5,BHI_10
0.2685,Fumarate,6,BHI_10
0.2655,Fumarate,3,BHI_10
0.329,Fumarate,4,BHI_10
0.293,Fumarate,7,BHI_10
0.2885,Fumarate,2,BHI_10
0.3175,Fumarate,8,BHI_10
0.208,Pyruvate,1,BHI_10
0.3125,Pyruvate,5,BHI_10
0.2795,Pyruvate,6,BHI_10
0.279,Pyruvate,3,BHI_10
0.309,Pyruvate,4,BHI_10
0.2895,Pyruvate,7,BHI_10
0.3315,Pyruvate,2,BHI_10
0.3765,Pyruvate,8,BHI_10
0.3095,Galactitol,1,BHI_10
0.458,Galactitol,5,BHI_10
0.2565,Galactitol,6,BHI_10
0.334,Galactitol,3,BHI_10
0.44,Galactitol,4,BHI_10
0.42,Galactitol,7,BHI_10
0.27,Galactitol,2,BHI_10
0.363,Galactitol,8,BHI_10
0.3915,Rhamnose,1,BHI_10
0.3665,Rhamnose,5,BHI_10
0.297,Rhamnose,6,BHI_10
0.355,Rhamnose,3,BHI_10
0.3535,Rhamnose,4,BHI_10
0.3405,Rhamnose,7,BHI_10
0.3735,Rhamnose,2,BHI_10
0.379,Rhamnose,8,BHI_10
0.321,Fucose,1,BHI_10
0.4015,Fucose,5,BHI_10
0.386,Fucose,6,BHI_10
0.3585,Fucose,3,BHI_10
0.42,Fucose,4,BHI_10
0.3895,Fucose,7,BHI_10
0.2855,Fucose,2,BHI_10
0.4085,Fucose,8,BHI_10
