"CS","donor","PCoA_data_1","PCoA_data_2","BaseMedia"
"Acetate",1,-0.0176634192353551,0.214866274843376,"BHI_10"
"Acetate",2,-0.07452566932444,-0.0691402828146738,"BHI_10"
"Acetate",3,0.179987919983178,-0.0904461661863372,"BHI_10"
"Acetate",4,-0.161019631657329,-0.0419150447455756,"BHI_10"
"Acetate",5,-0.212141494741413,0.0343697587423028,"BHI_10"
"Acetate",6,0.162002364574059,-0.0161922398762736,"BHI_10"
"Acetate",7,0.130504257074713,-0.0846304047717753,"BHI_10"
"Acetate",8,0.00765955404325967,0.0145424097811477,"BHI_10"
"Arabinose",1,0.0141628134257189,0.204192308852796,"BHI_10"
"Arabinose",2,-0.0329280018324112,-0.124237186647494,"BHI_10"
"Arabinose",3,0.138322675935558,0.0128381330578013,"BHI_10"
"Arabinose",4,-0.131530538105552,-0.0939428946154107,"BHI_10"
"Arabinose",5,-0.216225684561679,0.0265342935446562,"BHI_10"
"Arabinose",6,0.0915093400454716,0.181789364318859,"BHI_10"
"Arabinose",7,0.209839492805382,-0.0717302719043598,"BHI_10"
"Arabinose",8,-0.0289804394819957,0.109931192361026,"BHI_10"
"Citrate",1,0.024578478650188,0.151554404719997,"BHI_10"
"Citrate",2,-0.0289801650335146,-0.170848443078627,"BHI_10"
"Citrate",3,0.0969723845237329,-0.0862595224679194,"BHI_10"
"Citrate",4,-0.11819500045551,-0.0857354815007259,"BHI_10"
"Citrate",5,-0.214419485270232,0.0195202603592935,"BHI_10"
"Citrate",6,0.12501561227985,0.148517673739848,"BHI_10"
"Citrate",7,0.201401208435714,-0.0615709916771761,"BHI_10"
"Citrate",8,0.0533146176095243,0.0484040067816486,"BHI_10"
"Fructose",1,-0.0137010248808763,0.149971806858836,"BHI_10"
"Fructose",2,-0.0666602355070304,-0.16886031645217,"BHI_10"
"Fructose",3,0.113293517537299,-0.0751789971025364,"BHI_10"
"Fructose",4,-0.0993271243138565,-0.158026209832944,"BHI_10"
"Fructose",5,-0.227918728326359,0.00731219311948942,"BHI_10"
"Fructose",6,0.130482911701417,0.126023767776919,"BHI_10"
"Fructose",7,0.164311864897755,-0.0708159764922517,"BHI_10"
"Fructose",8,-0.0469494470264503,0.09452032296679,"BHI_10"
"Fucose",1,-0.0216548478588999,0.226111652932939,"BHI_10"
"Fucose",2,-0.0626676135967076,-0.132101239059938,"BHI_10"
"Fucose",3,0.119315880710589,-0.0168010802614388,"BHI_10"
"Fucose",4,-0.12722962120189,-0.143917982332968,"BHI_10"
"Fucose",5,-0.233677654583006,0.0600061937559322,"BHI_10"
"Fucose",6,0.187342602648599,0.177451186361286,"BHI_10"
"Fucose",7,0.136963819960047,-0.0510494873038472,"BHI_10"
"Fucose",8,-0.0157733401726633,0.0181124469082714,"BHI_10"
"Fumarate",1,-0.0672830079675421,0.197950902789043,"BHI_10"
"Fumarate",2,-0.143558299205312,-0.149288744250569,"BHI_10"
"Fumarate",3,0.101644753364471,-0.0647835234013085,"BHI_10"
"Fumarate",4,-0.0868729885527875,-0.149112249898032,"BHI_10"
"Fumarate",5,-0.27488853728033,0.0852255224635793,"BHI_10"
"Fumarate",6,0.14127552126651,0.146560406147727,"BHI_10"
"Fumarate",7,0.154891610876395,-0.0371946318213896,"BHI_10"
