"Family","CS","OD","AbsAbund"
"Alcaligenaceae","Acetate",0.201,0.0094687204065
"Alcaligenaceae","Arabinose",0.471,0.00503053900875
"Alcaligenaceae","Citrate",0.27775,0.01326140304925
"Alcaligenaceae","Fructose",0.47,0.00627283446666667
"Alcaligenaceae","Fucose",0.39075,0.008952089550625
"Alcaligenaceae","Fumarate",0.28825,0.03159938458125
"Alcaligenaceae","Galactitol",0.35525,0.00993075167025
"Alcaligenaceae","Galactose",0.46675,0.008273470131125
"Alcaligenaceae","Glucose",0.4855,0.00726979155454167
"Alcaligenaceae","Glycerol",0.30325,0.01032317573025
"Alcaligenaceae","Lactose",0.49475,0.006948062885
"Alcaligenaceae","Maltose",0.49425,0.00539478332175
"Alcaligenaceae","Mannitol",0.513,0.0053955505785
"Alcaligenaceae","Mannose",0.52875,0.00464479969475
"Alcaligenaceae","Melibiose",0.52925,0.007497322473375
"Alcaligenaceae","Oxaloacetate",0.28025,0.00345896367425
"Alcaligenaceae","Pyruvate",0.31325,0.00542267451025
"Alcaligenaceae","Rhamnose",0.3605,0.0093482197
"Alcaligenaceae","Ribose",0.40575,0.0036294149075
"Alcaligenaceae","Sorbitol",0.4765,0.00711999098425
"Alcaligenaceae","Succinate",0.2205,0.0056889202195
"Alcaligenaceae","Sucrose",0.52875,0.006020306690375
"Alcaligenaceae","ddH2O",0.206,0.00847068063175
"Bacteroidaceae","Acetate",0.201,0.035725798634
"Bacteroidaceae","Arabinose",0.471,0.037351677675
"Bacteroidaceae","Citrate",0.27775,0.03068279707825
"Bacteroidaceae","Fructose",0.47,0.032879245264
"Bacteroidaceae","Fucose",0.39075,0.02987541601725
"Bacteroidaceae","Fumarate",0.28825,0.030800178659
"Bacteroidaceae","Galactitol",0.35525,0.0389634893265
"Bacteroidaceae","Galactose",0.46675,0.03526752127025
"Bacteroidaceae","Glucose",0.4855,0.03067164371625
"Bacteroidaceae","Glycerol",0.30325,0.035801166048125
"Bacteroidaceae","Lactose",0.49475,0.02778490357675
"Bacteroidaceae","Maltose",0.49425,0.03300814282175
"Bacteroidaceae","Mannitol",0.513,0.03126069835775
"Bacteroidaceae","Mannose",0.52875,0.02957421489225
"Bacteroidaceae","Melibiose",0.52925,0.03934915336375
"Bacteroidaceae","Oxaloacetate",0.28025,0.03084619802425
"Bacteroidaceae","Pyruvate",0.31325,0.03230744078675
"Bacteroidaceae","Rhamnose",0.3605,0.030561775951
"Bacteroidaceae","Ribose",0.40575,0.040719334568
"Bacteroidaceae","Sorbitol",0.4765,0.0307976937035
"Bacteroidaceae","Succinate",0.2205,0.02956265284625
"Bacteroidaceae","Sucrose",0.52875,0.0370517073495
"Bacteroidaceae","ddH2O",0.206,0.0340625281855
"Desulfovibrionaceae","Acetate",0.201,0.00036618087225
"Desulfovibrionaceae","Arabinose",0.471,0.00049681620675
"Desulfovibrionaceae","Citrate",0.27775,0.0005543295685
"Desulfovibrionaceae","Fructose",0.47,0.000378463037875
"Desulfovibrionaceae","Fucose",0.39075,0.000942833419625
"Desulfovibrionaceae","Fumarate",0.28825,0.000844363471125
"Desulfovibrionaceae","Galactitol",0.35525,0.000620871765
"Desulfovibrionaceae","Galactose",0.46675,0.000305855538833333
"Desulfovibrionaceae","Glucose",0.4855,0.0004261897755
"Desulfovibrionaceae","Glycerol",0.30325,0.00061676987875
"Desulfovibrionaceae","Lactose",0.49475,0.000390681280166667
"Desulfovibrionaceae","Maltose",0.49425,0.000372537473666667
"Desulfovibrionaceae","Mannitol",0.513,0.000442040341125
"Desulfovibrionaceae","Mannose",0.52875,0.00037123118075
"Desulfovibrionaceae","Melibiose",0.52925,0.000393683866583333
"Desulfovibrionaceae","Oxaloacetate",0.28025,0.000692394770875
