Value,Color
0.0571832212347041,"(1.0000, 0.6588, 0.2863)"
0.016444825937478,"(1.0000, 0.6588, 0.2863)"
0.132303089217346,"(1.0000, 0.6588, 0.2863)"
0.0336697286497123,"(1.0000, 0.6588, 0.2863)"
0.0170807893362962,"(0.1569, 0.8000, 0.9451)"
0.151448079502815,"(0.4157, 0.2392, 0.6039)"
0.0121749987790471,"(0.4000, 0.6510, 0.1176)"
0,"(0.4000, 0.6510, 0.1176)"
0.00921710725894081,"(0.4000, 0.6510, 0.1176)"
0.012205628894827,"(0.4000, 0.6510, 0.1176)"
0.158366678190543,"(0.4000, 0.6510, 0.1176)"
0,"(0.4000, 0.6510, 0.1176)"
0.00753540334316471,"(0.4000, 0.6510, 0.1176)"
0.0110311787073658,"(0.1216, 0.4706, 0.7059)"
0.0755913538488785,"(0.6667, 0.4039, 0.1686)"
0.305747917098881,"(0.5000, 0.5000, 0.5000)"
