Time_h,AbsAbund,Family
0.5,0.00824896835817646,Bacteroidaceae
1,0.0112546793883711,Bacteroidaceae
2,0.0108649227711014,Bacteroidaceae
3,0.00624947695999487,Bacteroidaceae
4,0.0107286699940013,Bacteroidaceae
5,0.0156306697331611,Bacteroidaceae
6,0.0223129202519888,Bacteroidaceae
7,0.027727807680194,Bacteroidaceae
8,0.0290455913762942,Bacteroidaceae
10,0.0355246252765898,Bacteroidaceae
12,0.0394444020300887,Bacteroidaceae
16,0.038358489601595,Bacteroidaceae
20,0.0380758711682366,Bacteroidaceae
24,0.0339391422173339,Bacteroidaceae
34,0.0341226283168378,Bacteroidaceae
48,0.0384125295863775,Bacteroidaceae
0.5,0.000709621487196835,Porphyromonadaceae
1,0.00111017638292953,Porphyromonadaceae
2,0.000982055172556077,Porphyromonadaceae
3,0.000437682783283538,Porphyromonadaceae
4,0.00104882887922983,Porphyromonadaceae
5,0.0011906938669693,Porphyromonadaceae
6,0.0019234129100087,Porphyromonadaceae
7,0.00200748862935726,Porphyromonadaceae
8,0.00223220050009276,Porphyromonadaceae
10,0.0026198639841707,Porphyromonadaceae
12,0.00258862111887221,Porphyromonadaceae
16,0.00233237049468551,Porphyromonadaceae
20,0.00240997299666952,Porphyromonadaceae
24,0.00217625188209293,Porphyromonadaceae
34,0.00202455080199313,Porphyromonadaceae
48,0.00202068868937706,Porphyromonadaceae
0.5,0.00207153923658937,Enterococcaceae
1,0.00413029991582494,Enterococcaceae
2,0.0252901545773249,Enterococcaceae
3,0.0396727595715011,Enterococcaceae
4,0.0431123220474253,Enterococcaceae
5,0.0441772534762304,Enterococcaceae
6,0.0366956746704524,Enterococcaceae
7,0.0326444401135468,Enterococcaceae
8,0.0303157637131374,Enterococcaceae
10,0.0178690296773876,Enterococcaceae
12,0.0183817914906597,Enterococcaceae
16,0.0185781199194064,Enterococcaceae
20,0.0137247247845374,Enterococcaceae
24,0.0116105497159703,Enterococcaceae
34,0.0132534112253943,Enterococcaceae
48,0.0112010428398606,Enterococcaceae
0.5,0.00601067298099544,Lachnospiraceae
1,0.00653887266105776,Lachnospiraceae
2,0.00722173274066485,Lachnospiraceae
3,0.00574030694549277,Lachnospiraceae
4,0.00767594485259713,Lachnospiraceae
5,0.0146071633813053,Lachnospiraceae
6,0.0204189066478726,Lachnospiraceae
7,0.0235386949141258,Lachnospiraceae
8,0.0274519394898416,Lachnospiraceae
10,0.0305761443427283,Lachnospiraceae
12,0.0274700300285926,Lachnospiraceae
16,0.0287296039065005,Lachnospiraceae
20,0.0256589213110393,Lachnospiraceae
24,0.0235220552023464,Lachnospiraceae
34,0.0252437681868972,Lachnospiraceae
48,0.0235648721487403,Lachnospiraceae
0.5,0.00179365670898815,Ruminococcaceae
1,0.00190296927744176,Ruminococcaceae
2,0.00111609732268532,Ruminococcaceae
3,0.000237734029079007,Ruminococcaceae
4,0.000405137262293305,Ruminococcaceae
5,0.00064412945224328,Ruminococcaceae
6,0.00140920254417874,Ruminococcaceae
7,0.00236223843964728,Ruminococcaceae
8,0.00295635803452893,Ruminococcaceae
10,0.00510900114014532,Ruminococcaceae
12,0.00527539647105016,Ruminococcaceae
16,0.00601924490981662,Ruminococcaceae
20,0.00547897669272759,Ruminococcaceae
24,0.00579125100194015,Ruminococcaceae
34,0.00645505853104345,Ruminococcaceae
48,0.00485481192649249,Ruminococcaceae
0.5,0.000976024277100895,Alcaligenaceae
1,0.00143054293999523,Alcaligenaceae
2,0.00121820187596085,Alcaligenaceae
3,0.000672770739669232,Alcaligenaceae
4,0.000919215051988016,Alcaligenaceae
5,0.000979214085889789,Alcaligenaceae
6,0.000842177958689433,Alcaligenaceae
7,0.0008746387290283,Alcaligenaceae
8,0.000730765447262165,Alcaligenaceae
10,0.000668268296806345,Alcaligenaceae
12,0.000648623512721653,Alcaligenaceae
16,0.000304404205795383,Alcaligenaceae
20,0.000474606221592117,Alcaligenaceae
24,0.000483272045393279,Alcaligenaceae
34,0.0008557021370039,Alcaligenaceae
48,0.00153203113398333,Alcaligenaceae
0.5,8.26306451230041e-05,Desulfovibrionaceae
1,0.000126017687632379,Desulfovibrionaceae
2,0.00012563876207521,Desulfovibrionaceae
3,9.28146706846159e-05,Desulfovibrionaceae
4,0.0001088456818754,Desulfovibrionaceae
5,0.000269824162661663,Desulfovibrionaceae
6,0.000366112437333972,Desulfovibrionaceae
7,0.000872841650240406,Desulfovibrionaceae
8,0.000931687827333511,Desulfovibrionaceae
10,0.00112190253371218,Desulfovibrionaceae
12,0.00128453479806871,Desulfovibrionaceae
16,0.00153140204525219,Desulfovibrionaceae
20,0.00142770727182624,Desulfovibrionaceae
24,0.0014804021093266,Desulfovibrionaceae
34,0.00162253566450995,Desulfovibrionaceae
48,0.00166228238539516,Desulfovibrionaceae
0.5,0.0121445964375881,Enterobacteriaceae
1,0.0261138929053116,Enterobacteriaceae
2,0.0874167715163865,Enterobacteriaceae
3,0.11356433253746,Enterobacteriaceae
4,0.111414257493652,Enterobacteriaceae
5,0.101755708815642,Enterobacteriaceae
6,0.103422096895695,Enterobacteriaceae
7,0.0985209184490396,Enterobacteriaceae
8,0.0926913524424875,Enterobacteriaceae
10,0.091869638169632,Enterobacteriaceae
12,0.0832862177844348,Enterobacteriaceae
16,0.0751050200736954,Enterobacteriaceae
20,0.0745322727110268,Enterobacteriaceae
24,0.0686953947715301,Enterobacteriaceae
34,0.0629223451363202,Enterobacteriaceae
48,0.0626860483176819,Enterobacteriaceae
