Strain,Time,AA,CS,spp_short,spp_short_2,Family,Fam_col
Bacteroides fragilis,1,0.001253072,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.008566714,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.007416552,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.008347565,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001869382,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.003429486,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.001743886,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001777198,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002776051,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002437029,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002495316,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.009119029,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.00281756,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.009169349,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.003932997,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.003793687,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.010601159,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.008529224,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.010941959,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.00214262,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.007224319,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.009799428,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.002504305,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.027711537,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.015076949,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001798818,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.006191622,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.006455624,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.010092789,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.00198438,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002256422,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002159202,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.00089156,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.00126617,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.006968525,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001535453,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001468641,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001426283,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.013007043,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002476453,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.006389696,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.005039919,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.002446946,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001236584,Glycerol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001946371,Lactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002103279,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.004508569,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.003342811,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.005466985,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.002799422,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001266139,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.00142157,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001698108,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.00154431,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001445606,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.003559637,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.008973106,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.007029757,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.008131265,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.00192105,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.002110022,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.002753881,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.002878849,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.002363389,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.003067289,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.009691972,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.011277593,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.019433326,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.00215202,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002122011,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002051915,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.001912396,Fucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002178364,Fumarate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002254961,Galactitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002177887,Galactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002523017,Glucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.001914356,Glycerol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002618992,Lactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.002579964,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.005217381,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002511761,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002341982,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002208127,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
