Time_h,od_1,od_2,od_3,od_4,community
0,0.003,0.003,0.005,0,data_15a
0.108888888888889,0.003,0.003,0.004,0.002,data_15a
0.217777777777778,0.003,0.003,0.005,0.002,data_15a
0.326944444444444,0.003,0.004,0.005,0.002,data_15a
0.435833333333333,0.003,0.004,0.005,0.002,data_15a
0.544722222222222,0.003,0.004,0.005,0.003,data_15a
0.653611111111111,0.004,0.005,0.005,0.003,data_15a
0.7625,0.005,0.005,0.00600000000000001,0.004,data_15a
0.871666666666667,0.005,0.00600000000000001,0.00700000000000001,0.004,data_15a
0.980555555555556,0.00600000000000001,0.00700000000000001,0.00700000000000001,0.005,data_15a
1.08944444444444,0.00700000000000001,0.00800000000000001,0.00800000000000001,0.00600000000000001,data_15a
1.19861111111111,0.00800000000000001,0.00800000000000001,0.00900000000000001,0.00700000000000001,data_15a
1.3075,0.00900000000000001,0.01,0.01,0.00800000000000001,data_15a
1.41638888888889,0.01,0.011,0.012,0.00900000000000001,data_15a
1.52527777777778,0.012,0.013,0.014,0.012,data_15a
1.63416666666667,0.015,0.016,0.016,0.014,data_15a
1.74305555555556,0.017,0.019,0.019,0.017,data_15a
1.85194444444444,0.021,0.022,0.023,0.021,data_15a
1.96083333333333,0.025,0.026,0.027,0.024,data_15a
2.06972222222222,0.03,0.031,0.032,0.029,data_15a
2.17861111111111,0.035,0.037,0.037,0.034,data_15a
2.2875,0.042,0.043,0.044,0.041,data_15a
2.39666666666667,0.05,0.051,0.052,0.048,data_15a
2.50555555555556,0.058,0.061,0.061,0.058,data_15a
2.61472222222222,0.069,0.071,0.071,0.068,data_15a
2.72361111111111,0.082,0.084,0.084,0.081,data_15a
2.8325,0.095,0.096,0.096,0.092,data_15a
2.94166666666667,0.102,0.104,0.104,0.1,data_15a
3.05055555555556,0.11,0.113,0.113,0.108,data_15a
3.15944444444444,0.119,0.123,0.122,0.118,data_15a
3.26833333333333,0.126,0.126,0.127,0.123,data_15a
3.3775,0.13,0.13,0.131,0.127,data_15a
3.48638888888889,0.134,0.135,0.136,0.13,data_15a
3.59527777777778,0.136,0.137,0.138,0.131,data_15a
3.70416666666667,0.138,0.139,0.139,0.133,data_15a
3.81333333333333,0.14,0.139,0.141,0.135,data_15a
3.92222222222222,0.14,0.141,0.141,0.136,data_15a
4.03138888888889,0.14,0.14,0.142,0.135,data_15a
4.14027777777778,0.14,0.14,0.141,0.136,data_15a
4.24916666666667,0.142,0.141,0.143,0.137,data_15a
4.35833333333333,0.142,0.141,0.143,0.137,data_15a
4.46722222222222,0.142,0.141,0.142,0.136,data_15a
4.57611111111111,0.142,0.141,0.142,0.137,data_15a
4.68527777777778,0.143,0.143,0.145,0.139,data_15a
4.79416666666667,0.144,0.144,0.145,0.139,data_15a
4.90305555555556,0.144,0.143,0.146,0.14,data_15a
5.01222222222222,0.144,0.143,0.144,0.138,data_15a
5.12111111111111,0.144,0.144,0.145,0.14,data_15a
5.23027777777778,0.146,0.145,0.147,0.141,data_15a
5.33916666666667,0.146,0.145,0.147,0.142,data_15a
5.44833333333333,0.147,0.146,0.148,0.143,data_15a
5.55722222222222,0.146,0.146,0.148,0.142,data_15a
5.66611111111111,0.148,0.147,0.148,0.144,data_15a
5.77527777777778,0.148,0.148,0.149,0.144,data_15a
5.88416666666667,0.149,0.149,0.15,0.145,data_15a
5.99305555555556,0.15,0.15,0.152,0.146,data_15a
6.10222222222222,0.15,0.15,0.152,0.146,data_15a
6.21111111111111,0.151,0.15,0.151,0.147,data_15a
6.32027777777778,0.152,0.152,0.153,0.148,data_15a
6.42916666666667,0.152,0.152,0.154,0.148,data_15a
6.53833333333333,0.153,0.153,0.154,0.149,data_15a
6.64722222222222,0.154,0.153,0.156,0.15,data_15a
6.75638888888889,0.154,0.154,0.156,0.151,data_15a
6.86555555555556,0.156,0.156,0.157,0.152,data_15a
6.97444444444444,0.156,0.156,0.157,0.151,data_15a
7.08361111111111,0.157,0.157,0.159,0.153,data_15a
7.19277777777778,0.158,0.159,0.159,0.154,data_15a
7.30166666666667,0.159,0.159,0.161,0.155,data_15a
7.41083333333333,0.159,0.159,0.161,0.155,data_15a
7.51972222222222,0.16,0.161,0.162,0.157,data_15a
