"time","Alignment.ID","Metabolite.name","value","rep","species","polarity","met.id","met.id.pol","value.norm","value.norm.mean"
0,2547,"Glucose",2075800,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",1,1
0,2547,"Glucose",2284238,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",1,1
0,2547,"Glucose",2295576,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",1,1
1,2547,"Glucose",2449840,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",1.18019020127652,1.08888193048612
1,2547,"Glucose",2449133,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",1.07218771766002,1.08888193048612
1,2547,"Glucose",2328330,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",1.01426787252181,1.08888193048612
2,2547,"Glucose",2370212,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",1.14183006945271,1.0573639811503
2,2547,"Glucose",2315761,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",1.01379978189673,1.0573639811503
2,2547,"Glucose",2333367,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",1.01646209210146,1.0573639811503
3,2547,"Glucose",2019478,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.972866859588178,0.857974573340595
3,2547,"Glucose",1836438,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.803960531275405,0.857974573340595
3,2547,"Glucose",1829796,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.797096329158203,0.857974573340595
4,2547,"Glucose",66498,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.0320348626867412,0.0178564412322939
4,2547,"Glucose",22970,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.0100558654326452,0.0178564412322939
4,2547,"Glucose",26350,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.0114785955774953,0.0178564412322939
5,2547,"Glucose",6699,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00322718796262262,0.00741362580427838
5,2547,"Glucose",13778,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00603176812934198,0.00741362580427838
5,2547,"Glucose",29801,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.0129819213208705,0.00741362580427838
6,2547,"Glucose",41377,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.0199330282623431,0.0119297935885746
6,2547,"Glucose",17624,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00771547986003216,0.0119297935885746
6,2547,"Glucose",18688,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00814087264334849,0.0119297935885746
