"time","Alignment.ID","Metabolite.name","value","rep","species","polarity","met.id","met.id.pol","BHI_val","value.norm","value.norm.mean"
48,3078,"Arginine",15031596,0,"Eh","pos","Arginine_3078","Arginine_3078_Hilic-pos",1378402176,0.0109050872458104,0.0098811166675314
48,2092,"Lysine",2502490880,0,"Eh","pos","Lysine_2092","Lysine_2092_Hilic-pos",2524215552,0.991393495308204,1.0286595330275
48,6157,"Glycerophosphocholine",1206319104,0,"Eh","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1177885824,1.02413924881047,1.04314985300157
48,3078,"Arginine",11959104,1,"Eh","pos","Arginine_3078","Arginine_3078_Hilic-pos",1325706624,0.00902092799000684,0.0098811166675314
48,2092,"Lysine",2572944640,1,"Eh","pos","Lysine_2092","Lysine_2092_Hilic-pos",2398978304,1.0725168437903,1.0286595330275
48,6157,"Glycerophosphocholine",1232092160,1,"Eh","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1140533504,1.08027704105019,1.04314985300157
48,3078,"Arginine",13651091,2,"Eh","pos","Arginine_3078","Arginine_3078_Hilic-pos",1404818432,0.00971733476677694,0.0098811166675314
48,2092,"Lysine",2555510272,2,"Eh","pos","Lysine_2092","Lysine_2092_Hilic-pos",2500332288,1.02206825998398,1.0286595330275
48,6157,"Glycerophosphocholine",1222818048,2,"Eh","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1192954496,1.02503326914405,1.04314985300157
48,3078,"Arginine",16862660,0,"Efe","pos","Arginine_3078","Arginine_3078_Hilic-pos",1378402176,0.0122334832905593,0.0105419974053446
48,2092,"Lysine",1218020864,0,"Efe","pos","Lysine_2092","Lysine_2092_Hilic-pos",2524215552,0.482534410562678,0.498238153518637
48,6157,"Glycerophosphocholine",5445303,0,"Efe","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1177885824,0.00462294637088446,0.00377993459025567
48,3078,"Arginine",12905294,1,"Efe","pos","Arginine_3078","Arginine_3078_Hilic-pos",1325706624,0.00973465301947933,0.0105419974053446
48,2092,"Lysine",1284769024,1,"Efe","pos","Lysine_2092","Lysine_2092_Hilic-pos",2398978304,0.535548412973247,0.498238153518637
48,6157,"Glycerophosphocholine",3777815,1,"Efe","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1140533504,0.00331232268358482,0.00377993459025567
48,3078,"Arginine",13567534,2,"Efe","pos","Arginine_3078","Arginine_3078_Hilic-pos",1404818432,0.00965785590599522,0.0105419974053446
48,2092,"Lysine",1191737472,2,"Efe","pos","Lysine_2092","Lysine_2092_Hilic-pos",2500332288,0.476631637019987,0.498238153518637
48,6157,"Glycerophosphocholine",4061455,2,"Efe","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1192954496,0.00340453471629773,0.00377993459025567
48,3078,"Arginine",1334096768,0,"Csy","pos","Arginine_3078","Arginine_3078_Hilic-pos",1378402176,0.967857415100412,1.00593771380503
48,2092,"Lysine",2298964736,0,"Csy","pos","Lysine_2092","Lysine_2092_Hilic-pos",2524215552,0.910764032520007,0.983874845746491
48,6157,"Glycerophosphocholine",1037712128,0,"Csy","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1177885824,0.880995514145015,0.878797128504247
48,3078,"Arginine",1371662720,1,"Csy","pos","Arginine_3078","Arginine_3078_Hilic-pos",1325706624,1.03466535818209,1.00593771380503
48,2092,"Lysine",2439396608,1,"Csy","pos","Lysine_2092","Lysine_2092_Hilic-pos",2398978304,1.0168481319384,0.983874845746491
48,6157,"Glycerophosphocholine",1000411776,1,"Csy","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1140533504,0.877143697764495,0.878797128504247
48,3078,"Arginine",1426298624,2,"Csy","pos","Arginine_3078","Arginine_3078_Hilic-pos",1404818432,1.01529036813258,1.00593771380503
48,2092,"Lysine",2560371200,2,"Csy","pos","Lysine_2092","Lysine_2092_Hilic-pos",2500332288,1.02401237278106,0.983874845746491
48,6157,"Glycerophosphocholine",1047714880,2,"Csy","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1192954496,0.878252173603232,0.878797128504247
48,3078,"Arginine",1380806400,0,"Bt","pos","Arginine_3078","Arginine_3078_Hilic-pos",1378402176,1.00174421010074,1.01319424268865
48,2092,"Lysine",2465231616,0,"Bt","pos","Lysine_2092","Lysine_2092_Hilic-pos",2524215552,0.976632765403137,1.00851020863465
48,6157,"Glycerophosphocholine",1162256000,0,"Bt","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1177885824,0.98673061117787,0.995923567409635
48,3078,"Arginine",1441718528,1,"Bt","pos","Arginine_3078","Arginine_3078_Hilic-pos",1325706624,1.08750948423449,1.01319424268865
48,2092,"Lysine",2593541632,1,"Bt","pos","Lysine_2092","Lysine_2092_Hilic-pos",2398978304,1.08110257879135,1.00851020863465
48,6157,"Glycerophosphocholine",1204059264,1,"Bt","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1140533504,1.05569828393599,0.995923567409635
48,3078,"Arginine",1335039744,2,"Bt","pos","Arginine_3078","Arginine_3078_Hilic-pos",1404818432,0.950329033730724,1.01319424268865
48,2092,"Lysine",2419809792,2,"Bt","pos","Lysine_2092","Lysine_2092_Hilic-pos",2500332288,0.967795281709454,1.00851020863465
48,6157,"Glycerophosphocholine",1127749760,2,"Bt","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1192954496,0.945341807115045,0.995923567409635
48,3078,"Arginine",1419961344,0,"Cc","pos","Arginine_3078","Arginine_3078_Hilic-pos",1378402176,1.03015024765156,0.995852761908799
48,2092,"Lysine",2463234304,0,"Cc","pos","Lysine_2092","Lysine_2092_Hilic-pos",2524215552,0.975841504927135,1.00266364681606
48,6157,"Glycerophosphocholine",1199806464,0,"Cc","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1177885824,1.01861015603953,0.98755878847084
48,3078,"Arginine",1349777408,1,"Cc","pos","Arginine_3078","Arginine_3078_Hilic-pos",1325706624,1.01815694554593,0.995852761908799
48,2092,"Lysine",2499345664,1,"Cc","pos","Lysine_2092","Lysine_2092_Hilic-pos",2398978304,1.04183754342039,1.00266364681606
48,6157,"Glycerophosphocholine",1150234752,1,"Cc","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1140533504,1.00850588514714,0.98755878847084
48,3078,"Arginine",1319477248,2,"Cc","pos","Arginine_3078","Arginine_3078_Hilic-pos",1404818432,0.939251092528909,0.995852761908799
48,2092,"Lysine",2476108800,2,"Cc","pos","Lysine_2092","Lysine_2092_Hilic-pos",2500332288,0.990311892100674,1.00266364681606
48,6157,"Glycerophosphocholine",1116080896,2,"Cc","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1192954496,0.935560324225845,0.98755878847084
48,3078,"Arginine",1361353600,0,"Bp","pos","Arginine_3078","Arginine_3078_Hilic-pos",1378402176,0.987631638077426,0.991998387258709
48,2092,"Lysine",2569946624,0,"Bp","pos","Lysine_2092","Lysine_2092_Hilic-pos",2524215552,1.01811694367609,0.995201711478375
48,6157,"Glycerophosphocholine",1141869568,0,"Bp","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1177885824,0.969422964233397,0.964572277258665
48,3078,"Arginine",1373890688,1,"Bp","pos","Arginine_3078","Arginine_3078_Hilic-pos",1325706624,1.03634594720382,0.991998387258709
