Community,CarbonSource,OD,Replicate
15,Acetate,0.199409080714,1
15,Acetate,0.197243118848,2
15,Acetate,0.193994176049,3
15,Acetate,0.122517434471,4
15,Succinate,0.279549669756,1
15,Succinate,0.287130536287,2
15,Succinate,0.280632650689,3
15,Succinate,0.237313413369,4
15,ddH2O,0.227566584972,1
15,ddH2O,0.20157504258,2
15,ddH2O,0.138762148466,3
15,ddH2O,0.027215112367,4
15,Galactitol,0.250309184565,1
15,Galactitol,0.252475146431,2
15,Galactitol,0.245977260833,3
15,Galactitol,0.241645337101,4
15,Oxaloacetate,0.257890051096,1
15,Oxaloacetate,0.264387936694,2
15,Oxaloacetate,0.275217746024,3
15,Oxaloacetate,0.283881593488,4
15,Citrate,0.227566584972,1
15,Citrate,0.295794383751,2
15,Citrate,0.271968803225,3
15,Citrate,0.275217746024,4
15,Pyruvate,0.325034868942,1
15,Pyruvate,0.328283811741,2
15,Pyruvate,0.339113621071,3
15,Pyruvate,0.344528525736,4
15,Glycerol,0.333698716406,1
15,Glycerol,0.343445544803,2
15,Glycerol,0.341279582937,3
15,Glycerol,0.341279582937,4
15,Fumarate,0.330449773607,1
15,Fumarate,0.321785926143,2
15,Fumarate,0.308790154947,3
15,Fumarate,0.031547036099,4
15,Rhamnose,0.333698716406,1
15,Rhamnose,0.344528525736,2
15,Rhamnose,0.352109392267,3
15,Rhamnose,0.357524296932,4
15,Sucrose,0.317454002411,1
15,Sucrose,0.317454002411,2
15,Sucrose,0.321785926143,3
15,Sucrose,0.323951888009,4
15,Galactose,0.406258438917,1
15,Galactose,0.408424400783,2
15,Galactose,0.408424400783,3
15,Galactose,0.416005267314,4
15,Fructose,0.375934972793,1
15,Fructose,0.378100934659,2
15,Fructose,0.38568180119,3
15,Fructose,0.387847763056,4
15,Melibiose,0.398677572386,1
15,Melibiose,0.399760553319,2
15,Melibiose,0.400843534252,3
15,Melibiose,0.38568180119,4
15,Glucose,0.382432858391,1
15,Glucose,0.391096705855,2
15,Glucose,0.391096705855,3
15,Glucose,0.398677572386,4
15,Fucose,0.370520068128,1
15,Fucose,0.37485199186,2
15,Fucose,0.391096705855,3
