CarbonSource,Isolate,AbsAbMedian,Community
Acetate,Enterococcus spp.,0.00120686003569435,11
Acetate,Escherichia fergusonii,0.0011592297911212,11
Acetate,Clostridium symbiosum,0.018117824111679,11
Acetate,Bacteroides thetaiotaomicron,0.00251216988358246,11
Acetate,Clostridium clostridioforme,0.0221742950763724,11
Acetate,Blautia producta,0.0304323105024695,11
Acetate,Clostridium scindens,0.00121319411243585,11
Acetate,Clostridium hylemonae,0.00217071682312227,11
Acetate,Clostridium hathewayi,0,11
Acetate,Bacteroides fragilis,0.0184998950961759,11
Acetate,Flavonifractor plautii,0,11
Acetate,Bacteroides uniformis,0.0028799472651359,11
Acetate,Parabacteroides distasonis,0.000704433784579985,11
Succinate,Enterococcus spp.,0.000969491749050846,11
Succinate,Escherichia fergusonii,0.00119992257263161,11
Succinate,Clostridium symbiosum,0.0206140518561149,11
Succinate,Bacteroides thetaiotaomicron,0.00519284199557995,11
Succinate,Clostridium clostridioforme,0.0971802367723681,11
Succinate,Blautia producta,0.0188839188670875,11
Succinate,Clostridium scindens,0.000637545103226928,11
Succinate,Clostridium hylemonae,0.0007562868331471,11
Succinate,Clostridium hathewayi,0,11
Succinate,Bacteroides fragilis,0.013359826429743,11
Succinate,Flavonifractor plautii,0,11
Succinate,Bacteroides uniformis,0.00184423837665567,11
Succinate,Parabacteroides distasonis,0.000324178012608957,11
ddH2O,Enterococcus spp.,0.00151156126969281,11
ddH2O,Escherichia fergusonii,0.00287196641241635,11
ddH2O,Clostridium symbiosum,0.0239736003536367,11
ddH2O,Bacteroides thetaiotaomicron,0.00621846518213247,11
ddH2O,Clostridium clostridioforme,0.101362649617602,11
ddH2O,Blautia producta,0.060817589770561,11
ddH2O,Clostridium scindens,0.00127092386653006,11
ddH2O,Clostridium hylemonae,0.00368443059487624,11
ddH2O,Clostridium hathewayi,0,11
ddH2O,Bacteroides fragilis,0.0180552219631353,11
ddH2O,Flavonifractor plautii,0,11
ddH2O,Bacteroides uniformis,0.00200281868234298,11
ddH2O,Parabacteroides distasonis,0.00028341530320711,11
Galactitol,Enterococcus spp.,0.00173745830953116,11
Galactitol,Escherichia fergusonii,0.00254666987910917,11
Galactitol,Clostridium symbiosum,0.0112594872147679,11
Galactitol,Bacteroides thetaiotaomicron,0.00618986831494307,11
Galactitol,Clostridium clostridioforme,0.136945078557909,11
Galactitol,Blautia producta,0.0208306481577549,11
Galactitol,Clostridium scindens,0.00101016373957996,11
Galactitol,Clostridium hylemonae,0.00249950435037144,11
Galactitol,Clostridium hathewayi,0,11
Galactitol,Bacteroides fragilis,0.0140932680359712,11
Galactitol,Flavonifractor plautii,0,11
Galactitol,Bacteroides uniformis,0.00390615075208246,11
Galactitol,Parabacteroides distasonis,0.000474827379144172,11
Oxaloacetate,Enterococcus spp.,0.00301794268162244,11
Oxaloacetate,Escherichia fergusonii,0.00165140369000554,11
Oxaloacetate,Clostridium symbiosum,0.00953287920880047,11
Oxaloacetate,Bacteroides thetaiotaomicron,0.00303146011132504,11
Oxaloacetate,Clostridium clostridioforme,0.165987178077948,11
Oxaloacetate,Blautia producta,0.0108889506742411,11
Oxaloacetate,Clostridium scindens,0.00140863057097711,11
Oxaloacetate,Clostridium hylemonae,0.00199271123460704,11
Oxaloacetate,Clostridium hathewayi,0,11
Oxaloacetate,Bacteroides fragilis,0.00699049602102369,11
Oxaloacetate,Flavonifractor plautii,0,11
Oxaloacetate,Bacteroides uniformis,0.00233536882328481,11
Oxaloacetate,Parabacteroides distasonis,0.000194923930774395,11
Citrate,Enterococcus spp.,0.000709698351259028,11
Citrate,Escherichia fergusonii,0.00501814910167811,11
Citrate,Clostridium symbiosum,0.0064926249822796,11
Citrate,Bacteroides thetaiotaomicron,0.00312607799591738,11
Citrate,Clostridium clostridioforme,0.170932495679138,11
Citrate,Blautia producta,0.0223341321259562,11
Citrate,Clostridium scindens,0.00089530827910318,11
Citrate,Clostridium hylemonae,0.00215241457314194,11
Citrate,Clostridium hathewayi,0,11
Citrate,Bacteroides fragilis,0.0384037630986613,11
Citrate,Flavonifractor plautii,6.3291398396787e-05,11
Citrate,Bacteroides uniformis,0.00143182968651426,11
Citrate,Parabacteroides distasonis,0.000243385780107141,11
Pyruvate,Enterococcus spp.,0.00128972667735167,11
Pyruvate,Escherichia fergusonii,0.00316400786250687,11
Pyruvate,Clostridium symbiosum,0.0149111046742186,11
Pyruvate,Bacteroides thetaiotaomicron,0.000927471691729164,11
Pyruvate,Clostridium clostridioforme,0.016981076286985,11
Pyruvate,Blautia producta,0.0350128271107729,11
Pyruvate,Clostridium scindens,0.00119428647619658,11
Pyruvate,Clostridium hylemonae,0.00175870057449922,11
Pyruvate,Clostridium hathewayi,0,11
Pyruvate,Bacteroides fragilis,0.0197840342613083,11
Pyruvate,Flavonifractor plautii,0,11
Pyruvate,Bacteroides uniformis,0.00131081692918631,11
Pyruvate,Parabacteroides distasonis,0.000174428107670329,11
Glycerol,Enterococcus spp.,0.00034570318135333,11
Glycerol,Escherichia fergusonii,0.00246853780503696,11
Glycerol,Clostridium symbiosum,0.0133985918344583,11
Glycerol,Bacteroides thetaiotaomicron,0.00187701485915162,11
Glycerol,Clostridium clostridioforme,0.022032214715962,11
Glycerol,Blautia producta,0.0416801235451206,11
Glycerol,Clostridium scindens,0.00139634616974862,11
Glycerol,Clostridium hylemonae,0.00267664058228933,11
Glycerol,Clostridium hathewayi,0,11
Glycerol,Bacteroides fragilis,0.0255902782989949,11
