"Enterococcus.spp.","Escherichia.fergusonii","Clostridium.symbiosum","Bacteroides.thetaiotaomicron","Clostridium.clostridioforme","Blautia.producta","Clostridium.scindens","Clostridium.hylemonae","Clostridium.hathewayi","Bacteroides.fragilis","Flavonifractor.plautii","Bacteroides.uniformis","Parabacteroides.distasonis","Other","CS"
0,0.843895109,0,0.070623952,0,0.032456549,0,0,0.001905678,0,0,0,0.051118712,0,"Galactitol"
0.069848647,0.718990151,0.007478186,0.137435892,0,0.003140601,0.00554806,0,0.008579594,0.034507749,0.00707119,0,0.007399931,0,"Oxaloacetate"
0.778647724,0.186641446,0,0,0,0,0,0,0,0,0.01699028,0.017720549,0,0,"Citrate"
0.194585984,0.651196267,0.020110708,0.017414124,0.009463479,9.15152923412804e-05,0.00037877,0.005398498,0.004109542,0.043289764,0.003134471,0.050826876,0,0,"Pyruvate"
0.342284554,0.299112941,0.059899625,0.11725964,0.011770507,0.067953901,0.006268636,0,0.000291174,0.087000123,0,0,0.0081589,0,"Glycerol"
0.416751544,0.485668855,0,0,0,0,0,0.001303431,0.000440435,0.011172801,0.083015277,0.001499248,0.00014841,0,"Fumarate"
0.042220356,0.733829192,0.005341531,0.100973398,0,0,0.000993997,0.001739963,0.038130077,0.047097114,0.004365742,0,0.025308631,0,"Rhamnose"
0.919591931,0,0,0.027001361,0,0,0.001514224,0,0.001758907,0.050133576,0,0,0,0,"Sucrose"
0.034376398,0.689112393,0.003917393,0.031644732,0,0.008596152,0,0.003106565,0.056073087,0.131006939,0.022156307,0,0.020010034,0,"Galactose"
0.37113882,0.497652002,0.005106285,0.034616835,0.00088823,0,0,0.000350766,0.017728455,0.068525128,0.003993479,0,0,0,"Fructose"
0.03871546,0.755868876,0.007976676,0.058535299,0,0.010460127,0.000507212,0.005057558,0.040914168,0.046630155,0.014171296,0,0.021163172,0,"Melibiose"
0.490284679,0.441286179,0.003534468,0.031297977,0.007934711,0,0,2.28106018151721e-05,0.008118332,0,0.009887555,0.007633288,0,0,"Glucose"
0,0.811363325,0,0.087771358,0,0,0,0.003262186,0.031725379,0.053653311,0,0,0.012224441,0,"Fucose"
0.486214171,0.406014942,0,0.012200136,0,0,0,0.000465956,0.008088352,0.087016443,0,0,0,0,"Sorbitol"
0.25228518,0.625224287,0.002174783,0.024801101,0,0,0.000170756,0.001529624,0.017289917,0.064351589,0.007181904,0,0.00499086,0,"Mannitol"
0.426078718,0.532656438,0,0.030343088,0,0,0,0,0.006469435,0.004452322,0,0,0,0,"Mannose"
0.489369509,0.421575506,0,0.023988289,0,0,0,0,0.018443122,0.046623574,0,0,0,0,"Maltose"
0.898972007,0.063966593,0,0.028503282,0,0,0.00219462,0,0.006363497,0,0,0,0,0,"Ribose"
0.043848778,0.764447652,0.006394833,0.040330954,0,0.00652668,0.001307838,0,0.024214215,0.07420434,0.019782643,0,0.018942067,0,"Lactose"
0,0.802338065,0.01759242,0.067477689,0,0.006780199,0.001265956,0.00094762,0.019045345,0.04602895,0.027506972,0,0.011016784,0,"Arabinose"
