Log_Ratio_Data_eq,Log_Ratio_AUCn_eq,CS
-1.012564944,-0.838309684,Oxaloacetate
0.620332927,-0.663009244,Citrate
-0.524600347,-0.760252737,Pyruvate
0.058552098,-0.055579897,Glycerol
-0.066463036,-0.916213826,Fumarate
-1.240073095,-1.988484088,Rhamnose
1.963595152,1.438908186,Sucrose
-1.302029688,-0.669055746,Galactose
-0.127389373,-0.81622715,Fructose
-1.290562034,0.166048573,Melibiose
0.045727996,-0.864150012,Glucose
0.078285596,-0.891403128,Sorbitol
-0.3941441,-0.780289556,Mannitol
-0.096957338,-0.574496638,Mannose
0.064761537,0.012776415,Maltose
1.147792949,0.335140739,Ribose
-1.241390251,-1.236950573,Lactose
