Log_Ratio_Data_OD2,Log_Ratio_fOD2,CS
-1.012564944,-0.092140311,Oxaloacetate
0.620332927,-0.233359119,Citrate
-0.524600347,0.194738569,Pyruvate
0.058552098,-0.433112446,Glycerol
-0.066463036,-1.597299906,Fumarate
-1.240073095,-0.489241012,Rhamnose
1.963595152,1.458309852,Sucrose
-1.302029688,0.129366923,Galactose
-0.127389373,0.05962807,Fructose
-1.290562034,-0.229426264,Melibiose
0.045727996,0.088377289,Glucose
0.078285596,-0.234719471,Sorbitol
-0.3941441,-0.781562271,Mannitol
-0.096957338,0.066693736,Mannose
0.064761537,0.032046049,Maltose
1.147792949,0.031689983,Ribose
-1.241390251,0.084785429,Lactose
