Log_Ratio_Data_OD,Log_Ratio_fOD,CS
-1.012564944,-0.249918803,Oxaloacetate
0.620332927,-0.237385632,Citrate
-0.524600347,-0.367925589,Pyruvate
0.058552098,-0.230821364,Glycerol
-0.066463036,-0.435571961,Fumarate
-1.240073095,-0.611013678,Rhamnose
1.963595152,0.19427,Sucrose
-1.302029688,-0.332286705,Galactose
-0.127389373,-0.299626512,Fructose
-1.290562034,0.044225739,Melibiose
0.045727996,-0.405795857,Glucose
0.078285596,-0.572940358,Sorbitol
-0.3941441,-0.42252826,Mannitol
-0.096957338,-0.276370046,Mannose
0.064761537,-0.025987511,Maltose
1.147792949,0.100030433,Ribose
-1.241390251,-0.62010898,Lactose
