Enterococcus spp.,Escherichia fergusonii,Clostridium symbiosum,Bacteroides thetaiotaomicron,Clostridium clostridioforme,Blautia producta,Clostridium scindens,Clostridium hylemonae,Clostridium hathewayi,Bacteroides fragilis,Flavonifractor plautii,Bacteroides uniformis,Parabacteroides distasonis,Other,CS
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Citrate
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pyruvate
0.218916051,0,0,0.151221031,0.576034818,0.053828099,0,0,0,0,0,0,0,0,Rhamnose
0.987850105,0,0,0,0,0.011125423,0.001024473,0,0,0,0,0,0,0,Sucrose
0.773960265,0,0,0,0,0.205442938,0.010509696,0.0100871,0,0,0,0,0,0,Galactose
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Fructose
0.92218079,0,0,0,0,0.07781921,0,0,0,0,0,0,0,0,Melibiose
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Glucose
0,0,0,0,0.456255754,0,0,0,0,0.543744246,0,0,0,0,Fucose
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mannose
0.983744352,0.000113234,0,0,0,0.016142413,0,0,0,0,0,0,0,0,Maltose
0.995354993,0,0,0,0.004645007,0,0,0,0,0,0,0,0,0,Ribose
0.565198851,0,0,0,0.247717871,0.149924027,0,0.002228532,0.034930718,0,0,0,0,0,Lactose
0,0,0.704627115,0,0.295091273,0,0,0,0,0,0,0.000281612,0,0,Arabinose
