Enterococcus spp.,Escherichia fergusonii,Clostridium symbiosum,Bacteroides thetaiotaomicron,Clostridium clostridioforme,Blautia producta,Clostridium scindens,Clostridium hylemonae,Clostridium hathewayi,Bacteroides fragilis,Flavonifractor plautii,Bacteroides uniformis,Parabacteroides distasonis,Other,CS
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Acetate
0.481636985582827,0,0.0442447288832846,0.0837132731523518,0,0.0785346146931957,0.00336627643051759,0,0,0.0487974340586005,0.216670102820069,0.0430365843791543,0,0,Succinate
0.107020172594873,0,0,0,0,0.812091388379957,0.0775119748009546,0.00337646422421565,0,0,0,0,0,0,Galacticol
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Oxaloacetate
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Citrate
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pyruvate
0.604806675712587,0,0.0101721777957573,0.000309813356651595,0.129424191697991,0.222146195213557,0,0.00420232412713767,0.0273319925860244,0,0,0.00160662951029529,0,0,Glycerol
0.98535755010989,0,0,0,0,0,0.00087412743252436,0,0,0,0.0137683224575857,0,0,0,Fumarate
0.218916051080928,0,0,0.151221031123643,0.576034818491583,0.0538280993038462,0,0,0,0,0,0,0,0,Rhamnose
0.987850104753264,0,0,0,0,0.0111254227372257,0.00102447250951084,0,0,0,0,0,0,0,Sucrose
0.773960265459499,0,0,0,0,0.205442938131503,0.0105096959975317,0.0100871004114665,0,0,0,0,0,0,Galactose
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Fructose
0.922180790037113,0,0,0,0,0.0778192099628875,0,0,0,0,0,0,0,0,Melibiose
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Glucose
0,0,0,0,0.456255753790937,0,0,0,0,0.543744246209063,0,0,0,0,Fucose
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sorbitol
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mannitol
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mannose
0.983744352466401,0.000113234418592733,0,0,0,0.0161424131150058,0,0,0,0,0,0,0,0,Maltose
0.995354992521583,0,0,0,0.00464500747841706,0,0,0,0,0,0,0,0,0,Ribose
0.565198850988738,0,0,0,0.247717871100952,0.14992402736473,0,0.00222853233747576,0.0349307182081039,0,0,0,0,0,Lactose
0,0,0.704627114605137,0,0.295091273251728,0,0,0,0,0,0,0.000281612143134919,0,0,Arabinose
