CarbonSource,Isolate,NormalizedValue,Community
Citrate,Enterococcus spp.,0.00737557429063457,11
Citrate,Escherichia fergusonii,0,11
Citrate,Clostridium symbiosum,0.0102784055466867,11
Citrate,Bacteroides thetaiotaomicron,0.0226644322723647,11
Citrate,Clostridium clostridioforme,0.959681587890314,11
Citrate,Blautia producta,0,11
Citrate,Clostridium scindens,0,11
Citrate,Clostridium hylemonae,0,11
Citrate,Clostridium hathewayi,0,11
Citrate,Bacteroides fragilis,0,11
Citrate,Flavonifractor plautii,0,11
Citrate,Bacteroides uniformis,0,11
Citrate,Parabacteroides distasonis,0,11
Pyruvate,Enterococcus spp.,0.00593227742148079,11
Pyruvate,Escherichia fergusonii,0.000539360517942763,11
Pyruvate,Clostridium symbiosum,0,11
Pyruvate,Bacteroides thetaiotaomicron,0.00479463011106893,11
Pyruvate,Clostridium clostridioforme,0.988733731949508,11
Pyruvate,Blautia producta,0,11
Pyruvate,Clostridium scindens,0,11
Pyruvate,Clostridium hylemonae,0,11
Pyruvate,Clostridium hathewayi,0,11
Pyruvate,Bacteroides fragilis,0,11
Pyruvate,Flavonifractor plautii,0,11
Pyruvate,Bacteroides uniformis,0,11
Pyruvate,Parabacteroides distasonis,0,11
Rhamnose,Enterococcus spp.,0.00122885654295147,11
Rhamnose,Escherichia fergusonii,0.00614491323183866,11
Rhamnose,Clostridium symbiosum,0,11
Rhamnose,Bacteroides thetaiotaomicron,0.269776679853238,11
Rhamnose,Clostridium clostridioforme,0.637674493162947,11
Rhamnose,Blautia producta,0.0806170268116116,11
Rhamnose,Clostridium scindens,0,11
Rhamnose,Clostridium hylemonae,0.00455803039741309,11
Rhamnose,Clostridium hathewayi,0,11
Rhamnose,Bacteroides fragilis,0,11
Rhamnose,Flavonifractor plautii,0,11
Rhamnose,Bacteroides uniformis,0,11
Rhamnose,Parabacteroides distasonis,0,11
Sucrose,Enterococcus spp.,0.034043869075907,11
Sucrose,Escherichia fergusonii,0.00110943006784349,11
Sucrose,Clostridium symbiosum,0,11
Sucrose,Bacteroides thetaiotaomicron,0.0154159581798013,11
Sucrose,Clostridium clostridioforme,0.686850799408025,11
Sucrose,Blautia producta,0.251294298836218,11
Sucrose,Clostridium scindens,0,11
Sucrose,Clostridium hylemonae,0.00901312187743667,11
Sucrose,Clostridium hathewayi,0,11
Sucrose,Bacteroides fragilis,0.00227252255476916,11
Sucrose,Flavonifractor plautii,0,11
Sucrose,Bacteroides uniformis,0,11
Sucrose,Parabacteroides distasonis,0,11
Galactose,Enterococcus spp.,0.0036377050380154,11
Galactose,Escherichia fergusonii,0.0100356772741247,11
Galactose,Clostridium symbiosum,0,11
Galactose,Bacteroides thetaiotaomicron,0.000257678322292085,11
Galactose,Clostridium clostridioforme,0.864963712160614,11
Galactose,Blautia producta,0.114078628211804,11
Galactose,Clostridium scindens,0.00455774504937493,11
Galactose,Clostridium hylemonae,0.00246885394377568,11
Galactose,Clostridium hathewayi,0,11
Galactose,Bacteroides fragilis,0,11
Galactose,Flavonifractor plautii,0,11
Galactose,Bacteroides uniformis,0,11
Galactose,Parabacteroides distasonis,0,11
Fructose,Enterococcus spp.,0.00883616690484543,11
Fructose,Escherichia fergusonii,0.00644515692347603,11
Fructose,Clostridium symbiosum,0.0320461751784374,11
Fructose,Bacteroides thetaiotaomicron,0.0223024258138723,11
Fructose,Clostridium clostridioforme,0.646977049554696,11
Fructose,Blautia producta,0.269110527232193,11
Fructose,Clostridium scindens,0.000808586302146818,11
Fructose,Clostridium hylemonae,0.0134739120903329,11
