"Time","AbsAb","StdDev","Species","Family"
0.5,0.000792842802412442,4.82346410770325e-05,"Bacteroides uniformis","Bacteroidaceae"
1,0.00116132510578124,0.000151481463457726,"Bacteroides uniformis","Bacteroidaceae"
2,0.00133482218062104,0.000335040277603274,"Bacteroides uniformis","Bacteroidaceae"
3,0.00104008039371682,9.95434980112985e-05,"Bacteroides uniformis","Bacteroidaceae"
4,0.00154970609984543,0.000266407592595152,"Bacteroides uniformis","Bacteroidaceae"
5,0.00254072477461992,0.000329651528539804,"Bacteroides uniformis","Bacteroidaceae"
6,0.0024693264080375,0.000405201014314811,"Bacteroides uniformis","Bacteroidaceae"
7,0.00300682857907948,0.000281833796357965,"Bacteroides uniformis","Bacteroidaceae"
8,0.00357467456229511,0.000592922300164904,"Bacteroides uniformis","Bacteroidaceae"
10,0.00377005975468451,0.000486394852813686,"Bacteroides uniformis","Bacteroidaceae"
12,0.00380325139064427,0.000983829994758019,"Bacteroides uniformis","Bacteroidaceae"
16,0.00360465106373623,0.000245679582494389,"Bacteroides uniformis","Bacteroidaceae"
20,0.00367436768369698,0.000387569294519868,"Bacteroides uniformis","Bacteroidaceae"
24,0.00363011174703912,0.000274486006599429,"Bacteroides uniformis","Bacteroidaceae"
34,0.00385146587616441,0.000191953190936722,"Bacteroides uniformis","Bacteroidaceae"
48,0.00471409180917939,0.000370564120735472,"Bacteroides uniformis","Bacteroidaceae"
0.5,0.000295931191253658,6.075975177842e-05,"s__eggerthii","Bacteroidaceae"
1,0.00034933406766304,2.66133303770882e-05,"s__eggerthii","Bacteroidaceae"
2,0.000318069717542331,8.05202669220012e-05,"s__eggerthii","Bacteroidaceae"
3,0.000231123770414261,5.39763241407883e-05,"s__eggerthii","Bacteroidaceae"
4,0.000498715073179162,9.46120300585761e-05,"s__eggerthii","Bacteroidaceae"
5,0.00056164313463381,0.000130430809462618,"s__eggerthii","Bacteroidaceae"
6,0.000823695382601377,7.95867676484383e-05,"s__eggerthii","Bacteroidaceae"
7,0.00105865572339467,0.000221526960594318,"s__eggerthii","Bacteroidaceae"
8,0.00104282827911616,0.000275327551771513,"s__eggerthii","Bacteroidaceae"
10,0.00119400796115831,8.88449516684012e-05,"s__eggerthii","Bacteroidaceae"
12,0.00131700187198381,0.000245599806575884,"s__eggerthii","Bacteroidaceae"
16,0.00134130906137878,0.000146659675635692,"s__eggerthii","Bacteroidaceae"
20,0.00163764155895917,0.000185080904505686,"s__eggerthii","Bacteroidaceae"
24,0.00134875184804025,0.000162281824322343,"s__eggerthii","Bacteroidaceae"
34,0.00148487864238413,2.06767188546711e-05,"s__eggerthii","Bacteroidaceae"
48,0.00167520163666152,0.000245569073768543,"s__eggerthii","Bacteroidaceae"
0.5,0.000472016188876822,5.95235456861618e-05,"s__caccae","Bacteroidaceae"
1,0.000696757194325791,9.18337833139712e-05,"s__caccae","Bacteroidaceae"
2,0.00104206482528697,0.000133850525507785,"s__caccae","Bacteroidaceae"
3,0.000642222857852809,0.00010772049312751,"s__caccae","Bacteroidaceae"
4,0.00105606820113167,0.000121768229635174,"s__caccae","Bacteroidaceae"
5,0.0011442863445786,0.000248203851016616,"s__caccae","Bacteroidaceae"
6,0.00136822624814207,0.000214219146160027,"s__caccae","Bacteroidaceae"
7,0.00160914023138284,8.0672958350751e-05,"s__caccae","Bacteroidaceae"
8,0.00135793428049172,0.000113776220961304,"s__caccae","Bacteroidaceae"
10,0.00180161530901611,0.000225323384521972,"s__caccae","Bacteroidaceae"
12,0.00180443908240293,0.000236542116540155,"s__caccae","Bacteroidaceae"
16,0.00142663204827791,0.000238849611478353,"s__caccae","Bacteroidaceae"
20,0.00140248797350247,0.000110627933358762,"s__caccae","Bacteroidaceae"
24,0.00116355277192159,0.000163849343658985,"s__caccae","Bacteroidaceae"
34,0.00131068389872256,0.000247121560679616,"s__caccae","Bacteroidaceae"
48,0.00135341267452232,0.000174917082792887,"s__caccae","Bacteroidaceae"
0.5,0.00420858010175481,0.000224763849967545,"Bacteroides thetaiotaomicron","Bacteroidaceae"
1,0.00558045515681279,0.000333660293144442,"Bacteroides thetaiotaomicron","Bacteroidaceae"
2,0.00404811428361367,0.000674300358622793,"Bacteroides thetaiotaomicron","Bacteroidaceae"
3,0.00218289561737273,0.00035813653970939,"Bacteroides thetaiotaomicron","Bacteroidaceae"
4,0.00311536068975382,0.000313459932951197,"Bacteroides thetaiotaomicron","Bacteroidaceae"
5,0.0047929994249203,0.000625918328906418,"Bacteroides thetaiotaomicron","Bacteroidaceae"
6,0.00599930418470206,0.000432923765494242,"Bacteroides thetaiotaomicron","Bacteroidaceae"
7,0.00755759198119385,0.00118017273149928,"Bacteroides thetaiotaomicron","Bacteroidaceae"
8,0.00918131188479877,0.000612764803269598,"Bacteroides thetaiotaomicron","Bacteroidaceae"
10,0.0119735837753711,0.00104502967272951,"Bacteroides thetaiotaomicron","Bacteroidaceae"
