"Time","AbsAb","StdDev","Species","Family"
0.5,0.000451136844507031,5.24122500696518e-05,"Blautia producta","Lachnospiraceae"
1,0.000625684000147939,0.000145446098817966,"Blautia producta","Lachnospiraceae"
2,0.00217952781189587,0.00116982928307813,"Blautia producta","Lachnospiraceae"
3,0.00262355062950821,0.0001570847710247,"Blautia producta","Lachnospiraceae"
4,0.0031210769415049,0.000315567553047259,"Blautia producta","Lachnospiraceae"
5,0.00475741822433666,0.00048651592442397,"Blautia producta","Lachnospiraceae"
6,0.00579703629626028,0.000382976386139673,"Blautia producta","Lachnospiraceae"
7,0.00367800373687604,0.00214824710509463,"Blautia producta","Lachnospiraceae"
8,0.00746283133530364,0.000609515931357951,"Blautia producta","Lachnospiraceae"
10,0.00601381835742292,0.00229313267867589,"Blautia producta","Lachnospiraceae"
12,0.00653738202885211,0.00119137825245409,"Blautia producta","Lachnospiraceae"
16,0.00721963557372376,0.000819213821563723,"Blautia producta","Lachnospiraceae"
20,0.00571013924929355,0.00344306225984009,"Blautia producta","Lachnospiraceae"
24,0.00463791784294613,0.00212853299859872,"Blautia producta","Lachnospiraceae"
34,0.00640842118366756,0.00105389090009673,"Blautia producta","Lachnospiraceae"
48,0.00531455978497241,0.00102072132778349,"Blautia producta","Lachnospiraceae"
0.5,0.000753905414910906,2.46345364491613e-05,"Clostridium clostridioforme","Lachnospiraceae"
1,0.000941660614786455,7.63351995737729e-05,"Clostridium clostridioforme","Lachnospiraceae"
2,0.000905822838497392,5.7379256989354e-05,"Clostridium clostridioforme","Lachnospiraceae"
3,0.000748998655162982,0.00010640219455286,"Clostridium clostridioforme","Lachnospiraceae"
4,0.000954562648038833,0.000135537995427538,"Clostridium clostridioforme","Lachnospiraceae"
5,0.00151970217257698,0.000198491747978242,"Clostridium clostridioforme","Lachnospiraceae"
6,0.00239850248072408,0.0002626390550116,"Clostridium clostridioforme","Lachnospiraceae"
7,0.00270289336690827,0.00020700344530823,"Clostridium clostridioforme","Lachnospiraceae"
8,0.00270464663395922,9.40020173489894e-05,"Clostridium clostridioforme","Lachnospiraceae"
10,0.00381087132840468,0.00030008961725509,"Clostridium clostridioforme","Lachnospiraceae"
12,0.00330081124252923,0.000578610542515254,"Clostridium clostridioforme","Lachnospiraceae"
16,0.00319550822016564,0.000268707380810585,"Clostridium clostridioforme","Lachnospiraceae"
20,0.00295377009721297,0.000330994849187135,"Clostridium clostridioforme","Lachnospiraceae"
24,0.00284563288425987,0.000346371756780878,"Clostridium clostridioforme","Lachnospiraceae"
34,0.00274289272806644,0.000268395464165382,"Clostridium clostridioforme","Lachnospiraceae"
48,0.00300823966474806,0.000630210195140242,"Clostridium clostridioforme","Lachnospiraceae"
0.5,0.000344329965638489,7.76514137862766e-05,"s__","Lachnospiraceae"
1,0.000308073985720795,6.94313744865793e-05,"s__","Lachnospiraceae"
2,0.000197322810732344,4.4297489644335e-05,"s__","Lachnospiraceae"
3,5.23603856813329e-05,6.20686400970404e-05,"s__","Lachnospiraceae"
4,4.96280518916928e-05,5.79723692025308e-05,"s__","Lachnospiraceae"
5,0,0,"s__","Lachnospiraceae"
6,0.000302439581585649,8.00406493982895e-05,"s__","Lachnospiraceae"
7,0.000444389664657518,3.88338206714591e-05,"s__","Lachnospiraceae"
