Time,Bacteroidaceae_Value,Bacteroidaceae_StdDev,Lachnospiraceae_Value,Lachnospiraceae_StdDev
0.5,0.00420858010175481,0.000224763849967545,0.00386731641518289,0.000288930279683345
1,0.00558045515681279,0.000333660293144442,0.00392815603413153,0.00060147304340392
2,0.00404811428361367,0.000674300358622793,0.00266837387224602,0.000311117624273107
3,0.00218289561737273,0.00035813653970939,0.00122956335239462,0.000125133619837977
4,0.00311536068975382,0.000313459932951197,0.00213461162091754,0.000223147983495461
5,0.0047929994249203,0.000625918328906418,0.00549808307566693,0.00071067578790911
6,0.00599930418470206,0.000432923765494242,0.00800084775039612,0.000124635598975229
7,0.00755759198119385,0.00118017273149928,0.0129562581687512,0.00478087579348767
8,0.00918131188479877,0.000612764803269598,0.0122173203888759,0.00059823383235434
10,0.0119735837753711,0.00104502967272951,0.0148615032711145,0.00210450667447932
12,0.0137755465328232,0.0012535237540007,0.0116671415811688,0.000970768037155567
16,0.0125968750494141,0.000552113677855823,0.0120514185996951,0.000418834879856408
20,0.0118680726298084,0.000926599069854974,0.0113102424718203,0.000961354499795408
24,0.0106291598137609,0.0003969059557921,0.0107948888873629,0.000195890355071158
34,0.00938255913846049,0.000347453667586386,0.00971312322544897,0.000602584860645622
48,0.00872968946517553,0.00176655036162449,0.00944261022602502,0.000286298657599803
