Norm_Max_Growth_Rate,Absolute_Abundance,Isolate
0.984498469,0.012070889,Enterococcus hirae
1,0.068140807,Escherichia fergusonii
0.125269423,0.00944261,Clostridium symbiosum
0.080567125,0.008729689,Bacteroides thetaiotaomicron
0.442525345,0.00300824,Clostridium clostridioforme
0.139571957,0.00531456,Blautia producta
0.048190976,0.00033645,Clostridium scindens
0,0.002770428,Clostridium hathewayi
0.121606757,0.012507244,Bacteroides fragilis
0.085008453,0.000960001,Flavonifractor plautii
0,0.004714092,Bacteroides uniformis
0,0.002177815,Parabacteroides distasonis
