CarbonSource,OD_15_Member,OD_hmSIC,Color
Lactose,0.3965,0.4555,"(0.52, 0.52, 1.00)"
Glucose,0.3675,0.395,"(0.48, 0.10, 0.41)"
Galactose,0.3165,0.3715,"(0.97, 0.62, 0.86)"
Sucrose,0.4995,0.37,"(0.30, 0.30, 0.30)"
Fructose,0.3455,0.377,"(0.10, 0.10, 0.10)"
Rhamnose,0.3035,0.3315,"(0.64, 0.08, 0.18)"
Glycerol,0.346,0.3285,"(0.00, 1.00, 0.00)"
Ribose,0.4745,0.447,"(0.50, 0.50, 0.50)"
Pyruvate,0.2955,0.3225,"(0.30, 0.74, 0.93)"
Oxaloacetate,0.25,0.2935,"(1.00, 0.00, 0.00)"
Citrate,0.2935,0.3095,"(0.83, 0.69, 0.12)"
Maltose,0.4215,0.4415,"(0.62, 0.31, 0.28)"
Melibiose,0.3695,0.39,"(0.80, 0.80, 0.80)"
Mannose,0.4045,0.4275,"(0.00, 1.00, 0.76)"
Mannitol,0.3535,0.4235,"(0.52, 0.45, 0.00)"
Sorbitol,0.3825,0.4165,"(0.66, 0.97, 0.79)"
Galactitol,0.3235,0.232,"(0.85, 0.33, 0.10)"
Arabinose,0.3805,0.4655,"(0.00, 0.45, 0.74)"
Fucose,0.3275,0.4005,"(0.00, 0.34, 0.00)"
Acetate,0.176,0.169,"(1.00, 0.10, 0.72)"
Succinate,0.232,0.1945,"(0.47, 0.67, 0.19)"
Fumarate,0.304,0.3315,"(0.00, 0.52, 0.59)"
ddH2O,0.198,0.2135,"(0.00, 0.00, 1.00)"
