CarbonSource,OD_14_Member,OD_hmSIC,Color
Lactose,0.3975,0.4555,"(0.52, 0.52, 1.00)"
Glucose,0.418,0.395,"(0.48, 0.10, 0.41)"
Galactose,0.328,0.3715,"(0.97, 0.62, 0.86)"
Sucrose,0.4165,0.37,"(0.30, 0.30, 0.30)"
Fructose,0.4025,0.377,"(0.10, 0.10, 0.10)"
Rhamnose,0.178,0.3315,"(0.64, 0.08, 0.18)"
Glycerol,0.3025,0.3285,"(0.00, 1.00, 0.00)"
Ribose,0.4035,0.447,"(0.50, 0.50, 0.50)"
Pyruvate,0.311,0.3225,"(0.30, 0.74, 0.93)"
Oxaloacetate,0.112,0.2935,"(1.00, 0.00, 0.00)"
Citrate,0.2365,0.3095,"(0.83, 0.69, 0.12)"
Maltose,0.407,0.4415,"(0.62, 0.31, 0.28)"
Melibiose,0.366,0.39,"(0.80, 0.80, 0.80)"
Mannose,0.423,0.4275,"(0.00, 1.00, 0.76)"
Mannitol,0.398,0.4235,"(0.52, 0.45, 0.00)"
Sorbitol,0.3635,0.4165,"(0.66, 0.97, 0.79)"
Galactitol,0.1135,0.232,"(0.85, 0.33, 0.10)"
Arabinose,0.365,0.4655,"(0.00, 0.45, 0.74)"
Fucose,0.2755,0.4005,"(0.00, 0.34, 0.00)"
Acetate,0.097,0.169,"(1.00, 0.10, 0.72)"
Succinate,0.143,0.1945,"(0.47, 0.67, 0.19)"
Fumarate,0.166,0.3315,"(0.00, 0.52, 0.59)"
ddH2O,0.109,0.2135,"(0.00, 0.00, 1.00)"
