Strain,mGR_isol,mGR_type
E. hirae,1.664539175,1.752666871
E. fergusonii,1.701406028,1.530640716
C. symbiosum,0.471974068,0.542861858
B. theta,0.258691784,0.298748654
C. clostridioforme,0.83917855,0.647124471
B. producta,0.835547556,0.7160399
C. scindens,0.266642162,0.329916608
C. hylemonae,0.602473613,0.34087879
E. faecalis,1.533535218,1.568909439
C. hathewayi,0.811928633,0.636187519
B. fragilis,0.569540738,0.556449264
F. plautii,0.428060118,0.514122838
B. uniformis,0.260874416,0.276221179
P. distasonis,0.284116932,0.36821354
