CS,Donor,OD,CV,BaseMedia
Acetate,1,NaN,NaN,M9
Acetate,2,0,0,M9
Acetate,3,0,0,M9
Acetate,4,0.0005,0.00284059173033026,M9
Acetate,5,0,0,M9
Acetate,6,0.00233333333333334,0.00662668888596415,M9
Acetate,7,NaN,NaN,M9
Acetate,8,0.0005,0.00283362095307792,M9
Arabinose,1,NaN,NaN,M9
Arabinose,2,0.184,0.0988724953362056,M9
Arabinose,3,0.1275,0.0360338514465719,M9
Arabinose,4,0.15525,0.0300536346645224,M9
Arabinose,5,0.19675,0.0269291829997911,M9
Arabinose,6,0.15975,0.0232785358174113,M9
Arabinose,7,0.1695,0.0325453622132134,M9
Arabinose,8,0.1275,0.161485087647011,M9
Citrate,1,NaN,NaN,M9
Citrate,2,0.0005,0.0019857274950632,M9
Citrate,3,0.000750000000000001,0.00616016427104723,M9
Citrate,4,0.0005,0.00214628352858597,M9
Citrate,5,0.06,0.00928992384749682,M9
Citrate,6,0.0185,0.0780086727720605,M9
Citrate,7,0,0,M9
Citrate,8,0.000750000000000001,0.0029459295623272,M9
Fructose,1,NaN,NaN,M9
Fructose,2,0.174,0.108542826337596,M9
Fructose,3,0.1665,0.0682323240848609,M9
Fructose,4,0.16875,0.0686304620363978,M9
Fructose,5,0.21525,0.0614785629428996,M9
Fructose,6,0.19,0.0690669878745213,M9
Fructose,7,0.10225,0.0274103359793974,M9
Fructose,8,0.2055,0.0464899320504469,M9
Fucose,1,NaN,NaN,M9
Fucose,2,0.12275,0.0759591660752429,M9
Fucose,3,0.032,0.1225831733595,M9
Fucose,4,0.12575,0.0181179080385445,M9
Fucose,5,0.124,0.0406720858610975,M9
Fucose,6,0.10925,0.0699106251037632,M9
Fucose,7,0.10475,0.0133887160570093,M9
Fucose,8,0.02875,0.138688012027647,M9
Fumarate,1,NaN,NaN,M9
Fumarate,2,0.01725,0.00719564681608667,M9
Fumarate,3,0.01275,0.0538425024549044,M9
Fumarate,4,0.029,0.0190015361407462,M9
Fumarate,5,0.01875,0.0215737392494609,M9
Fumarate,6,0.02625,0.0495852638949226,M9
Fumarate,7,0.0325,0.00447873182562292,M9
Fumarate,8,0.0125,0.043542949372506,M9
Galacticol,1,NaN,NaN,M9
Galacticol,2,0.042,0.0318995540384909,M9
Galacticol,3,0.03075,0.00745156482861402,M9
Galacticol,4,0.04525,0.00568504832291075,M9
Galacticol,5,0.13,0.0110075953129517,M9
Galacticol,6,0.00375,0.0151770758662399,M9
Galacticol,7,0.04875,0.0195798006727773,M9
Galacticol,8,0.01975,0.0642054594114401,M9
Galactose,1,NaN,NaN,M9
Galactose,2,0.185,0.129077343224609,M9
Galactose,3,0.10225,0.0296423035845715,M9
Galactose,4,0.12575,0.0401765236906159,M9
Galactose,5,0.179,0.00817858445709743,M9
Galactose,6,0.12775,0.0245139413595214,M9
Galactose,7,0.102,0.0473795308910763,M9
Galactose,8,0.14325,0.0187165302268347,M9
Glucose,1,NaN,NaN,M9
Glucose,2,0.1835,0.057522875445675,M9
Glucose,3,0.1555,0.0126412307858029,M9
Glucose,4,0.12425,0.0456968885458884,M9
Glucose,5,0.18475,0.0811454421529138,M9
Glucose,6,0.19525,0.0840536807789223,M9
Glucose,7,0.0765,0.0682102228438594,M9
Glucose,8,0.0785,0.150651558754749,M9
Glycerol,1,NaN,NaN,M9
Glycerol,2,0.002,0.00714285714285715,M9
Glycerol,3,0.0005,0.00167590789314841,M9
Glycerol,4,0.000750000000000001,0.0015600624024961,M9
Glycerol,5,0.031,0.0528113612326989,M9
Glycerol,6,0.004,0.0188926678003779,M9
Glycerol,7,0.00025,0.00174825174825175,M9
Glycerol,8,0.0025,NaN,M9
Lactose,1,NaN,NaN,M9
Lactose,2,0.18925,0.0676423018709924,M9
Lactose,3,0.14425,0.0344810319190604,M9
Lactose,4,0.15625,0.103027126271693,M9
Lactose,5,0.206,0.0915742587713924,M9
Lactose,6,0.2345,0.137072528214899,M9
Lactose,7,0.17175,0.0498822572759322,M9
Lactose,8,0.12475,0.166111235800307,M9
Maltose,1,NaN,NaN,M9
Maltose,2,0.12975,0.0203433228314135,M9
Maltose,3,0.1245,0.0436951447845317,M9
Maltose,4,0.11325,0.0451704903276074,M9
Maltose,5,0.15875,0.0122931890969875,M9
Maltose,6,0.14525,0.0149591049020516,M9
Maltose,7,0.0885,0.0244284945075097,M9
Maltose,8,0.145,0.0348658078161287,M9
Mannitol,1,NaN,NaN,M9
Mannitol,2,0.19075,0.019735806760192,M9
Mannitol,3,0.1065,0.0323391872383748,M9
Mannitol,4,0.1675,0.0362738430382289,M9
Mannitol,5,0.20325,0.0204003838940818,M9
Mannitol,6,0.17625,0.0637536338890359,M9
Mannitol,7,0.134,0.0436751588740898,M9
Mannitol,8,0.179,0.0324597591656195,M9
Mannose,1,NaN,NaN,M9
Mannose,2,0.15125,0.0273389942285748,M9
Mannose,3,0.089,0.0158730158730159,M9
Mannose,4,0.16975,0.070297221906506,M9
Mannose,5,0.16375,0.0182235442671742,M9
Mannose,6,0.14,0.0219678259293259,M9
Mannose,7,0.148,0.00879740796451274,M9
Mannose,8,0.07875,0.158076634196866,M9
Melibiose,1,NaN,NaN,M9
Melibiose,2,0.187,0.109534732632723,M9
Melibiose,3,0.142,0.0490523931711978,M9
Melibiose,4,0.14225,0.0351867724558023,M9
Melibiose,5,0.18,0.045547540517202,M9
Melibiose,6,0.1525,0.0266956362210001,M9
Melibiose,7,0.1355,0.0212754078668217,M9
Melibiose,8,0.14625,0.0170097764531353,M9
Oxaloacetate,1,NaN,NaN,M9
Oxaloacetate,2,0.03025,0.0268986498190148,M9
Oxaloacetate,3,0.01125,0.00892060660124889,M9
Oxaloacetate,4,0.02275,0.0184973680269798,M9
Oxaloacetate,5,0.03175,0.0118106807277921,M9
Oxaloacetate,6,0.027,0.0157986466226306,M9
Oxaloacetate,7,0.028,0.0169941995161122,M9
Oxaloacetate,8,0.0125,0.0464805805303443,M9
Pyruvate,1,NaN,NaN,M9
Pyruvate,2,0.0675,0.0178930540714499,M9
Pyruvate,3,0.03,0.0293069328491743,M9
Pyruvate,4,0.06725,0.0167661093446009,M9
Pyruvate,5,0.06925,0.0572631417300864,M9
Pyruvate,6,0.06725,0.105661557705447,M9
Pyruvate,7,0.053,0.0487469517306679,M9
Pyruvate,8,0.047,0.0887547409012023,M9
