CS,Donor,OD,CV,BaseMedia
Acetate,1,0.19975,0.0175219023779725,BHI_10
Acetate,2,0.21325,0.136575529933981,BHI_10
Acetate,3,0.164,0.138599407489694,BHI_10
Acetate,4,0.20325,0.191075987494528,BHI_10
Acetate,5,0.17125,0.108239421938974,BHI_10
Acetate,6,0.17425,0.080121985153184,BHI_10
Acetate,7,0.201,0.0524948318120876,BHI_10
Acetate,8,0.20375,0.00838196381673588,BHI_10
Arabinose,1,0.4725,0.0610830463054468,BHI_10
Arabinose,2,0.471,0.181384786313602,BHI_10
Arabinose,3,0.4385,0.0441617257264244,BHI_10
Arabinose,4,0.4685,0.0698095174429904,BHI_10
Arabinose,5,0.48925,0.0555605961406527,BHI_10
Arabinose,6,0.51475,0.0637521291838294,BHI_10
Arabinose,7,0.467,0.0298252425635634,BHI_10
Arabinose,8,0.526,0.0569708139306908,BHI_10
Citrate,1,0.227,0.13710753421718,BHI_10
Citrate,2,0.29075,0.145036291076359,BHI_10
Citrate,3,0.2435,0.0394621089812445,BHI_10
Citrate,4,0.269,0.05230946944041,BHI_10
Citrate,5,0.2915,0.0307474663459091,BHI_10
Citrate,6,0.25925,0.110202851511372,BHI_10
Citrate,7,0.27775,0.0982212267557425,BHI_10
Citrate,8,0.325,0.065174625088481,BHI_10
Fructose,1,0.368,0.174210004617659,BHI_10
Fructose,2,0.41325,0.138056568608821,BHI_10
Fructose,3,0.443,0.100309755384472,BHI_10
Fructose,4,0.5055,0.0343591571911981,BHI_10
Fructose,5,0.47,0.0714800736958673,BHI_10
Fructose,6,0.489,0.183510535268848,BHI_10
Fructose,7,0.46375,0.04826127801359,BHI_10
Fructose,8,0.59675,0.0500179760279916,BHI_10
Fucose,1,0.35275,0.211159676744952,BHI_10
Fucose,2,0.30975,0.240213013534769,BHI_10
Fucose,3,0.36525,0.0803012149271045,BHI_10
Fucose,4,0.42125,0.024774634547107,BHI_10
Fucose,5,0.401,0.025185797851277,BHI_10
Fucose,6,0.39075,0.0641796826465547,BHI_10
Fucose,7,0.3875,0.0501513491514784,BHI_10
Fucose,8,0.405,0.0770591927621098,BHI_10
Fumarate,1,0.25975,0.0808393292753596,BHI_10
Fumarate,2,0.2865,0.0299578666424287,BHI_10
Fumarate,3,0.265,0.0119331232459184,BHI_10
Fumarate,4,0.32725,0.0896604475834388,BHI_10
Fumarate,5,0.2965,0.0464484053066073,BHI_10
Fumarate,6,0.26875,0.104379665051645,BHI_10
Fumarate,7,0.28825,0.0634258640027137,BHI_10
Fumarate,8,0.3185,0.0429349900507923,BHI_10
Galacticol,1,0.29275,0.154368096385972,BHI_10
Galacticol,2,0.266,0.0586434032922186,BHI_10
Galacticol,3,0.3355,0.0580776065401907,BHI_10
Galacticol,4,0.43975,0.0290253128649548,BHI_10
Galacticol,5,0.45725,0.0226135627763749,BHI_10
Galacticol,6,0.271,0.145651323660447,BHI_10
Galacticol,7,0.4115,0.0961772279623831,BHI_10
Galacticol,8,0.35525,0.242708225012702,BHI_10
Galactose,1,0.479,0.119321003475868,BHI_10
Galactose,2,0.4195,0.157816995166011,BHI_10
Galactose,3,0.45875,0.0566582799877697,BHI_10
Galactose,4,0.48875,0.0361932495487042,BHI_10
Galactose,5,0.51875,0.0874987505872683,BHI_10
Galactose,6,0.46675,0.134144402415488,BHI_10
Galactose,7,0.437666666666667,0.0399248817123569,BHI_10
Galactose,8,0.549,0.097047612262631,BHI_10
