OD,CarbonSource,Donor,BaseMedia
0,Lactose,1,M9
0.1695,Lactose,4,M9
0.1985,Lactose,2,M9
0.2535,Lactose,6,M9
0.145,Lactose,3,M9
0.141,Lactose,8,M9
0.1975,Lactose,5,M9
0.1775,Lactose,7,M9
0,Fructose,1,M9
0.1725,Fructose,4,M9
0.188,Fructose,2,M9
0.177,Fructose,6,M9
0.1665,Fructose,3,M9
0.2035,Fructose,8,M9
0.2135,Fructose,5,M9
0.1015,Fructose,7,M9
0,Mannitol,1,M9
0.1675,Mannitol,4,M9
0.194,Mannitol,2,M9
0.168,Mannitol,6,M9
0.103,Mannitol,3,M9
0.1795,Mannitol,8,M9
0.204,Mannitol,5,M9
0.142,Mannitol,7,M9
0,Arabinose,1,M9
0.152,Arabinose,4,M9
0.2035,Arabinose,2,M9
0.165,Arabinose,6,M9
0.1315,Arabinose,3,M9
0.1625,Arabinose,8,M9
0.1995,Arabinose,5,M9
0.1635,Arabinose,7,M9
0,Melibiose,1,M9
0.148,Melibiose,4,M9
0.2085,Melibiose,2,M9
0.156,Melibiose,6,M9
0.146,Melibiose,3,M9
0.146,Melibiose,8,M9
0.179,Melibiose,5,M9
0.134,Melibiose,7,M9
0,Glucose,1,M9
0.132,Glucose,4,M9
0.1855,Glucose,2,M9
0.195,Glucose,6,M9
0.1575,Glucose,3,M9
0.0755,Glucose,8,M9
0.204,Glucose,5,M9
0.074,Glucose,7,M9
0,Sorbitol,1,M9
0.12,Sorbitol,4,M9
0.161,Sorbitol,2,M9
0.1505,Sorbitol,6,M9
0.0895,Sorbitol,3,M9
0.1455,Sorbitol,8,M9
0.1985,Sorbitol,5,M9
0.1345,Sorbitol,7,M9
0,Galactose,1,M9
0.13,Galactose,4,M9
0.154,Galactose,2,M9
0.13,Galactose,6,M9
0.1015,Galactose,3,M9
0.141,Galactose,8,M9
0.1785,Galactose,5,M9
0.1,Galactose,7,M9
0,Maltose,1,M9
0.1115,Maltose,4,M9
0.1335,Maltose,2,M9
0.145,Maltose,6,M9
0.131,Maltose,3,M9
0.1415,Maltose,8,M9
0.1585,Maltose,5,M9
0.09,Maltose,7,M9
0,Mannose,1,M9
0.163,Mannose,4,M9
0.1525,Mannose,2,M9
0.1365,Mannose,6,M9
0.093,Mannose,3,M9
0.0785,Mannose,8,M9
0.1635,Mannose,5,M9
0.1485,Mannose,7,M9
0,Sucrose,1,M9
0.07,Sucrose,4,M9
0.1445,Sucrose,2,M9
0.1275,Sucrose,6,M9
0.004,Sucrose,3,M9
0.105,Sucrose,8,M9
0.203,Sucrose,5,M9
0.0155,Sucrose,7,M9
0,Fucose,1,M9
0.1245,Fucose,4,M9
0.132,Fucose,2,M9
0.114,Fucose,6,M9
0.011,Fucose,3,M9
0.001,Fucose,8,M9
0.1265,Fucose,5,M9
0.107,Fucose,7,M9
0,Rhamnose,1,M9
0.1015,Rhamnose,4,M9
0.1215,Rhamnose,2,M9
0.087,Rhamnose,6,M9
0.029,Rhamnose,3,M9
0.0625,Rhamnose,8,M9
0.114,Rhamnose,5,M9
0.1015,Rhamnose,7,M9
0,Ribose,1,M9
0.105,Ribose,4,M9
0.105,Ribose,2,M9
0.082,Ribose,6,M9
0.059,Ribose,3,M9
0.0785,Ribose,8,M9
0.117,Ribose,5,M9
0.077,Ribose,7,M9
0,Pyruvate,1,M9
0.065,Pyruvate,4,M9
0.0675,Pyruvate,2,M9
0.059,Pyruvate,6,M9
0.0305,Pyruvate,3,M9
0.056,Pyruvate,8,M9
0.067,Pyruvate,5,M9
0.048,Pyruvate,7,M9
0,Galactitol,1,M9
0.0455,Galactitol,4,M9
0.018,Galactitol,2,M9
0.003,Galactitol,6,M9
0.0305,Galactitol,3,M9
0.0195,Galactitol,8,M9
0.131,Galactitol,5,M9
0.049,Galactitol,7,M9
0,Oxaloacetate,1,M9
0.023,Oxaloacetate,4,M9
0.0285,Oxaloacetate,2,M9
0.026,Oxaloacetate,6,M9
0.0115,Oxaloacetate,3,M9
0.01,Oxaloacetate,8,M9
0.032,Oxaloacetate,5,M9
0.0295,Oxaloacetate,7,M9
0,Fumarate,1,M9
0.027,Fumarate,4,M9
0.0175,Fumarate,2,M9
0.021,Fumarate,6,M9
0.0065,Fumarate,3,M9
0.0125,Fumarate,8,M9
0.0205,Fumarate,5,M9
0.0325,Fumarate,7,M9
0,Citrate,1,M9
0.0005,Citrate,4,M9
0.0005,Citrate,2,M9
0.018,Citrate,6,M9
0,Citrate,3,M9
0.0005,Citrate,8,M9
0.061,Citrate,5,M9
0,Citrate,7,M9
0,Glycerol,1,M9
0.001,Glycerol,4,M9
0.001,Glycerol,2,M9
0.002,Glycerol,6,M9
0.0005,Glycerol,3,M9
0.0005,Glycerol,8,M9
0.023,Glycerol,5,M9
0,Glycerol,7,M9
0,Succinate,1,M9
0.001,Succinate,4,M9
0.0015,Succinate,2,M9
0.0025,Succinate,6,M9
0,Succinate,3,M9
0.001,Succinate,8,M9
0.0005,Succinate,5,M9
0,Succinate,7,M9
0,ddH2O,1,M9
0.001,ddH2O,4,M9
0.0015,ddH2O,2,M9
0.0015,ddH2O,6,M9
0.0015,ddH2O,3,M9
0.0015,ddH2O,8,M9
0,ddH2O,5,M9
0,ddH2O,7,M9
0,Acetate,1,M9
0.0005,Acetate,4,M9
0,Acetate,2,M9
0.002,Acetate,6,M9
0,Acetate,3,M9
0.0005,Acetate,8,M9
0,Acetate,5,M9
0,Acetate,7,M9
