Replicate,Transfer,Inoculum,Backbone,variable,value
1,1,1,M9,Lactose,0.217
2,1,1,M9,Lactose,0.203
3,1,1,M9,Lactose,0.209
4,1,1,M9,Lactose,0.219
1,1,1,M9,D-Glucose,0.217
2,1,1,M9,D-Glucose,0.202
3,1,1,M9,D-Glucose,0.191
4,1,1,M9,D-Glucose,0.191
1,1,1,M9,D-Galactose,0.184
2,1,1,M9,D-Galactose,0.195
3,1,1,M9,D-Galactose,0.202
4,1,1,M9,D-Galactose,0.182
1,1,1,M9,Sucrose,0.217
2,1,1,M9,Sucrose,0.215
3,1,1,M9,Sucrose,0.212
4,1,1,M9,Sucrose,0.208
1,1,1,M9,D-Fructose,0.158
2,1,1,M9,D-Fructose,0.154
3,1,1,M9,D-Fructose,0.147
4,1,1,M9,D-Fructose,0.14
1,1,1,M9,L-Rhamnose,0.327
2,1,1,M9,L-Rhamnose,0.165
3,1,1,M9,L-Rhamnose,0.169
4,1,1,M9,L-Rhamnose,0.157
1,1,1,M9,Glycerol,0.041
2,1,1,M9,Glycerol,0.039
3,1,1,M9,Glycerol,0.04
4,1,1,M9,Glycerol,0.039
1,1,1,M9,D-Ribose,0.265
2,1,1,M9,D-Ribose,0.273
3,1,1,M9,D-Ribose,0.28
4,1,1,M9,D-Ribose,0.279
1,1,1,M9,Pyruvate,0.042
2,1,1,M9,Pyruvate,0.043
3,1,1,M9,Pyruvate,0.041
4,1,1,M9,Pyruvate,0.042
1,1,1,M9,L-Lactate,1.163
2,1,1,M9,L-Lactate,1.171
3,1,1,M9,L-Lactate,1.174
4,1,1,M9,L-Lactate,1.203
1,1,1,M9,Oxaloacetate,0.044
2,1,1,M9,Oxaloacetate,0.044
3,1,1,M9,Oxaloacetate,0.043
4,1,1,M9,Oxaloacetate,0.045
1,1,1,M9,Citrate,0.04
2,1,1,M9,Citrate,0.045
3,1,1,M9,Citrate,0.04
4,1,1,M9,Citrate,0.046
1,1,1,M9,Maltose,0.201
2,1,1,M9,Maltose,0.203
3,1,1,M9,Maltose,0.178
4,1,1,M9,Maltose,0.225
1,1,1,M9,Melibiose,0.203
2,1,1,M9,Melibiose,0.2
3,1,1,M9,Melibiose,0.188
4,1,1,M9,Melibiose,0.193
1,1,1,M9,D-Mannose,0.134
2,1,1,M9,D-Mannose,0.125
3,1,1,M9,D-Mannose,0.111
4,1,1,M9,D-Mannose,0.125
1,1,1,M9,D-Mannitol,0.176
2,1,1,M9,D-Mannitol,0.17
3,1,1,M9,D-Mannitol,0.177
4,1,1,M9,D-Mannitol,0.166
1,1,1,M9,D-Sorbitol,0.095
2,1,1,M9,D-Sorbitol,0.094
3,1,1,M9,D-Sorbitol,0.091
4,1,1,M9,D-Sorbitol,0.091
1,1,1,M9,Galactitol,0.041
2,1,1,M9,Galactitol,0.041
3,1,1,M9,Galactitol,0.043
4,1,1,M9,Galactitol,0.042
1,1,1,M9,L-Arabinose,0.205
2,1,1,M9,L-Arabinose,0.196
3,1,1,M9,L-Arabinose,0.19
4,1,1,M9,L-Arabinose,0.172
1,1,1,M9,L-Fucose,0.13
2,1,1,M9,L-Fucose,0.126
3,1,1,M9,L-Fucose,0.124
4,1,1,M9,L-Fucose,0.117
1,1,1,M9,Acetate,0.044
2,1,1,M9,Acetate,0.04
3,1,1,M9,Acetate,0.04
4,1,1,M9,Acetate,0.039
1,1,1,M9,Succinate,0.041
2,1,1,M9,Succinate,0.04
3,1,1,M9,Succinate,0.04
4,1,1,M9,Succinate,0.04
1,1,1,M9,Fumarate,0.057
2,1,1,M9,Fumarate,0.041
3,1,1,M9,Fumarate,0.041
4,1,1,M9,Fumarate,0.041
1,1,1,M9,ctrl,0.04
2,1,1,M9,ctrl,0.042
3,1,1,M9,ctrl,0.041
4,1,1,M9,ctrl,0.041
1,1,2,M9,Lactose,0.357
2,1,2,M9,Lactose,0.281
3,1,2,M9,Lactose,0.278
4,1,2,M9,Lactose,0.215
1,1,2,M9,D-Glucose,0.246
2,1,2,M9,D-Glucose,0.257
3,1,2,M9,D-Glucose,0.218
4,1,2,M9,D-Glucose,0.228
1,1,2,M9,D-Galactose,0.204
2,1,2,M9,D-Galactose,0.194
3,1,2,M9,D-Galactose,0.205
4,1,2,M9,D-Galactose,0.195
1,1,2,M9,Sucrose,0.192
2,1,2,M9,Sucrose,0.189
3,1,2,M9,Sucrose,0.197
4,1,2,M9,Sucrose,0.355
1,1,2,M9,D-Fructose,0.574
2,1,2,M9,D-Fructose,0.141
3,1,2,M9,D-Fructose,0.174
4,1,2,M9,D-Fructose,0.244
1,1,2,M9,L-Rhamnose,0.164
2,1,2,M9,L-Rhamnose,0.418
3,1,2,M9,L-Rhamnose,0.155
4,1,2,M9,L-Rhamnose,0.115
1,1,2,M9,Glycerol,0.041
2,1,2,M9,Glycerol,0.04
3,1,2,M9,Glycerol,0.041
4,1,2,M9,Glycerol,0.044
1,1,2,M9,D-Ribose,0.39
2,1,2,M9,D-Ribose,0.111
3,1,2,M9,D-Ribose,0.123
4,1,2,M9,D-Ribose,0.131
1,1,2,M9,Pyruvate,0.089
2,1,2,M9,Pyruvate,0.108
3,1,2,M9,Pyruvate,0.096
4,1,2,M9,Pyruvate,0.092
1,1,2,M9,L-Lactate,0.845
2,1,2,M9,L-Lactate,0.848
3,1,2,M9,L-Lactate,0.891
4,1,2,M9,L-Lactate,0.871
1,1,2,M9,Oxaloacetate,0.068
2,1,2,M9,Oxaloacetate,0.067
3,1,2,M9,Oxaloacetate,0.068
