Medium,CS,Donor,Richness
M9,Acetate,1,NaN
M9,Acetate,2,NaN
M9,Acetate,3,NaN
M9,Acetate,4,NaN
M9,Acetate,5,NaN
M9,Acetate,6,NaN
M9,Acetate,7,NaN
M9,Acetate,8,NaN
M9,Arabinose,1,NaN
M9,Arabinose,2,9.445
M9,Arabinose,3,4.975
M9,Arabinose,4,6.495
M9,Arabinose,5,13.555
M9,Arabinose,6,6.25
M9,Arabinose,7,7.97
M9,Arabinose,8,12.88
M9,Citrate,1,NaN
M9,Citrate,2,NaN
M9,Citrate,3,NaN
M9,Citrate,4,NaN
M9,Citrate,5,5.83
M9,Citrate,6,4.5
M9,Citrate,7,NaN
M9,Citrate,8,NaN
M9,Fructose,1,NaN
M9,Fructose,2,9.52
M9,Fructose,3,3.33
M9,Fructose,4,6.665
M9,Fructose,5,11.87
M9,Fructose,6,5.90666666666667
M9,Fructose,7,14.93
M9,Fructose,8,9.03
M9,Fucose,1,NaN
M9,Fucose,2,7.34
M9,Fucose,3,2
M9,Fucose,4,2.615
M9,Fucose,5,5.275
M9,Fucose,6,1.75
M9,Fucose,7,8.725
M9,Fucose,8,7.22
M9,Fumarate,1,NaN
M9,Fumarate,2,1.02
M9,Fumarate,3,2
M9,Fumarate,4,1.71
M9,Fumarate,5,1.26666666666667
M9,Fumarate,6,2.5
M9,Fumarate,7,2.145
M9,Fumarate,8,6.37
M9,Galacticol,1,NaN
M9,Galacticol,2,1
M9,Galacticol,3,2
M9,Galacticol,4,1.945
M9,Galacticol,5,3.825
M9,Galacticol,6,NaN
M9,Galacticol,7,2.44
M9,Galacticol,8,6.42
M9,Galactose,1,NaN
M9,Galactose,2,2.6
M9,Galactose,3,3.08
M9,Galactose,4,3.16
M9,Galactose,5,14.8
M9,Galactose,6,6.67
M9,Galactose,7,9.125
M9,Galactose,8,7.935
M9,Glucose,1,NaN
M9,Glucose,2,9.9
M9,Glucose,3,3.16
M9,Glucose,4,5.87
M9,Glucose,5,8.875
M9,Glucose,6,4.685
M9,Glucose,7,7.64
M9,Glucose,8,8
M9,Glycerol,1,NaN
M9,Glycerol,2,NaN
M9,Glycerol,3,NaN
M9,Glycerol,4,NaN
M9,Glycerol,5,3.38
M9,Glycerol,6,NaN
M9,Glycerol,7,NaN
M9,Glycerol,8,NaN
M9,Lactose,1,NaN
M9,Lactose,2,9.66
M9,Lactose,3,5.755
M9,Lactose,4,8.515
M9,Lactose,5,11.005
M9,Lactose,6,6.065
