CS,donor,PCoA_data_1,PCoA_data_2,BaseMedia
Acetate,1,0.309397552345356,0.0532859826154736,BHI_10
Acetate,2,0.188648926010017,0.0554959274517205,BHI_10
Acetate,3,0.247120338175736,0.0104732045351674,BHI_10
Acetate,4,0.221716244751396,-0.0406884812136673,BHI_10
Acetate,5,0.283752989396266,-0.00920531131399834,BHI_10
Acetate,6,0.181718431829191,-0.049810864977869,BHI_10
Acetate,7,0.183049854438927,-0.0620860355227464,BHI_10
Acetate,8,0.201528029688512,0.0903316530672648,BHI_10
Arabinose,1,0.388989237155827,-0.0169607187101386,BHI_10
Arabinose,2,-0.127459039319333,-0.0127375575377001,BHI_10
Arabinose,3,-0.136285334841573,-0.0222590798849235,BHI_10
Arabinose,4,-0.11235904000114,-0.0171015245270986,BHI_10
Arabinose,5,-0.133808107898141,-0.0101908475875892,BHI_10
Arabinose,6,-0.123196315967048,-0.0278844181200182,BHI_10
Arabinose,7,-0.127164800162867,-0.0475830273529794,BHI_10
Arabinose,8,-0.0496046246982635,-0.0337013085673337,BHI_10
Citrate,1,0.431124549471219,-0.0585037917673692,BHI_10
Citrate,2,0.0418014167315851,0.040354336945657,BHI_10
Citrate,3,0.0871676851682874,-0.0564984907694406,BHI_10
Citrate,4,0.027129335264173,-0.00391389662929175,BHI_10
Citrate,5,-0.0389793182351049,-0.0304768713468349,BHI_10
Citrate,6,0.0520062106143001,-0.0691089231514898,BHI_10
Citrate,7,0.0469610236802644,-0.0584805049831133,BHI_10
Citrate,8,0.0272606406547837,-0.105083120751089,BHI_10
Fructose,1,0.230860319481263,0.206869721500298,BHI_10
Fructose,2,-0.118079004862834,0.00202532832427809,BHI_10
Fructose,3,-0.129037859188437,-0.017744583031558,BHI_10
Fructose,4,-0.136769637883602,0.0023809558388366,BHI_10
Fructose,5,-0.112229682345079,0.0289935113896267,BHI_10
Fructose,6,-0.145969313910488,-0.00187537206248369,BHI_10
Fructose,7,-0.142483901749937,-0.0428560962070518,BHI_10
Fructose,8,-0.0787057814064002,0.194489757059092,BHI_10
Fucose,1,0.348331180499426,-0.092431521535657,BHI_10
Fucose,2,-0.107927828059423,-0.0140493155595964,BHI_10
Fucose,3,-0.11774963988479,-0.0353082713215862,BHI_10
Fucose,4,-0.116277496778513,-0.0276323147288436,BHI_10
Fucose,5,-0.122071370971388,-0.0108489952530421,BHI_10
Fucose,6,-0.124405876683034,-0.0335234800492151,BHI_10
Fucose,7,-0.0732080608021613,-0.0669185357471396,BHI_10
Fucose,8,-0.0453062654694975,-0.0258431792551812,BHI_10
Fumarate,1,0.239294649016346,0.156575404328138,BHI_10
Fumarate,2,-0.00230960801829456,-0.0184223823988483,BHI_10
Fumarate,3,-0.0605692167621831,-0.0769337688176483,BHI_10
Fumarate,4,0.00341132002112149,-0.0392914159025005,BHI_10
Fumarate,5,-0.0407542448955706,-0.0585335042427853,BHI_10
Fumarate,6,-0.0437366561301315,-0.04892291592672,BHI_10
Fumarate,7,0.0148881386700766,-0.0831309081082457,BHI_10
Fumarate,8,-0.00986873120434206,0.0175364546795942,BHI_10
Galacticol,1,0.396569090934564,-0.0190237068949351,BHI_10
Galacticol,2,0.0214056786147954,-0.0215311775941989,BHI_10
Galacticol,3,0.0851388519935414,-0.0443627237188224,BHI_10
Galacticol,4,-0.0364505717387409,-0.0307957510420865,BHI_10
Galacticol,5,-0.107825599404384,-0.0154081190935336,BHI_10
Galacticol,6,0.0734686542243772,-0.0408819491125122,BHI_10
Galacticol,7,0.0872071249760692,-0.052783787496125,BHI_10
Galacticol,8,0.113568531046672,-0.0321696775076199,BHI_10
Galactose,1,0.211427107959203,0.126858943209764,BHI_10
Galactose,2,-0.113452946956861,0.0882030774165415,BHI_10
Galactose,3,-0.115098102697179,0.000315631892327973,BHI_10
Galactose,4,-0.10865157605064,-0.0125125878372994,BHI_10
Galactose,5,-0.0951552078276015,0.0545157172873087,BHI_10
Galactose,6,-0.0602035968466419,-0.0183679613828653,BHI_10
Galactose,7,-0.128770622513509,-0.0394744835679492,BHI_10
Galactose,8,-0.0642995919894204,0.13789438655492,BHI_10
Glucose,1,0.131264656474286,0.32342504782788,BHI_10
Glucose,2,-0.127742812472243,0.0229611228508566,BHI_10
Glucose,3,-0.0914671048188754,0.0586937948119733,BHI_10
Glucose,4,-0.147571964251801,0.0145861993203887,BHI_10
Glucose,5,-0.122737162254231,0.0322449075476652,BHI_10
Glucose,6,-0.148390004538264,0.016951879634142,BHI_10
Glucose,7,-0.108181881151055,-0.0617933592658007,BHI_10
Glucose,8,-0.0647432607467738,0.124750885526103,BHI_10
Glycerol,1,0.357009820888134,-0.0414634825285073,BHI_10
Glycerol,2,0.0780420908187009,-0.0327802512224781,BHI_10
Glycerol,3,0.113085590719485,-0.00473794624443674,BHI_10
Glycerol,4,0.0860441894718635,-0.0614974871062446,BHI_10
Glycerol,5,-0.0398663176035242,-0.0299375331667602,BHI_10
Glycerol,6,-0.118927178321642,-0.028712033691188,BHI_10
Glycerol,7,0.0692697245870428,-0.068260944034539,BHI_10
Glycerol,8,NaN,NaN,BHI_10
Lactose,1,0.260041523340444,0.133893423089754,BHI_10
Lactose,2,-0.120751338583291,0.0660924680650661,BHI_10
Lactose,3,-0.134990598311728,0.0391660873103523,BHI_10
Lactose,4,-0.141374320381044,0.0278906505799491,BHI_10
Lactose,5,-0.137102080976324,0.0389757690772813,BHI_10
Lactose,6,-0.110845821486173,-0.0298845798336197,BHI_10
Lactose,7,-0.126303054128577,-0.0482502454863961,BHI_10
Lactose,8,-0.0563097904196846,0.072319559789738,BHI_10
Maltose,1,0.292743391364797,0.0301503573352592,BHI_10
Maltose,2,-0.0303249804168885,0.0726168566159933,BHI_10
Maltose,3,-0.112684889423057,0.0314208319143369,BHI_10
Maltose,4,-0.0744572495725772,0.0330338927602918,BHI_10
Maltose,5,-0.0610186066998206,0.0730940834602301,BHI_10
Maltose,6,-0.011180068609617,0.0496812992036362,BHI_10
Maltose,7,-0.0794586954841786,-0.0778307821916831,BHI_10
Maltose,8,-0.0584309800441728,0.231845951642595,BHI_10
Mannitol,1,0.166618997525076,0.139446512430111,BHI_10
Mannitol,2,-0.146318793076198,-0.00734248004810643,BHI_10
Mannitol,3,-0.16646227055792,-0.0126303586480713,BHI_10
Mannitol,4,-0.139683164609597,-0.0133787069869566,BHI_10
Mannitol,5,-0.151578258816407,0.00232017895836962,BHI_10
Mannitol,6,-0.160488949932316,-0.0176265674586073,BHI_10
Mannitol,7,-0.139056435853142,-0.0490582225300831,BHI_10
Mannitol,8,-0.0924535416423825,-0.0198767390322125,BHI_10
Mannose,1,0.239724520691172,0.145830345696675,BHI_10
Mannose,2,-0.162102256031408,0.0120841528231205,BHI_10
Mannose,3,-0.153545957970749,0.0185222662999953,BHI_10
Mannose,4,-0.154990758833266,0.00697705194287027,BHI_10
Mannose,5,-0.131514848823037,0.0146613237384068,BHI_10
Mannose,6,-0.133912306348874,-0.00455588101980902,BHI_10
Mannose,7,-0.122853279153371,0.0117515886080183,BHI_10
Mannose,8,-0.0784238178692124,0.024180270557147,BHI_10
Melibiose,1,0.285927495056274,0.0800629611062089,BHI_10
Melibiose,2,-0.115554681930368,0.00755838492672213,BHI_10
Melibiose,3,-0.136129350251355,0.0472063772499929,BHI_10
Melibiose,4,-0.0816017508541,0.0309675642775643,BHI_10
Melibiose,5,-0.113549967762418,-0.000721495229948883,BHI_10
Melibiose,6,-0.0884566635440481,-0.00987381588496801,BHI_10
Melibiose,7,-0.076502396942613,0.0291401731767271,BHI_10
Melibiose,8,-0.099065956124067,0.0592152551755346,BHI_10
Oxaloacetate,1,0.299937394717902,-0.0575872306122247,BHI_10
Oxaloacetate,2,-0.0285960667098061,-0.0556791639806591,BHI_10
Oxaloacetate,3,0.0242697712175627,-0.0377638798910886,BHI_10
Oxaloacetate,4,-0.0257860131296221,-0.0421957450537592,BHI_10
Oxaloacetate,5,-0.0643776216819408,-0.0241341959456726,BHI_10
Oxaloacetate,6,-0.0335552930065159,-0.0400668996828723,BHI_10
Oxaloacetate,7,-0.00122491802729918,-0.0858063561447111,BHI_10
Oxaloacetate,8,-0.028073733221257,-0.030290171031475,BHI_10
Pyruvate,1,0.314681033919789,0.0354598532323834,BHI_10
Pyruvate,2,-0.0549819151421451,-0.0305845213942982,BHI_10
Pyruvate,3,-0.0476367200415081,-0.0405474570701033,BHI_10
Pyruvate,4,-0.103522304736197,-0.0178956392257529,BHI_10
Pyruvate,5,-0.104129682500801,-0.0215451674716362,BHI_10
Pyruvate,6,-0.0799691130631707,-0.0364472471041594,BHI_10
Pyruvate,7,-0.0602186960993555,-0.0486548383881345,BHI_10
Pyruvate,8,0.0388976092629538,-0.078221191587002,BHI_10
Rhamnose,1,0.514484443940542,-0.107613764976651,BHI_10
Rhamnose,2,-0.0736995667157438,-0.0154899697460887,BHI_10
Rhamnose,3,-0.0903105809043792,-0.0454384872771078,BHI_10
Rhamnose,4,-0.073820487050918,-0.0408873469703153,BHI_10
Rhamnose,5,-0.118922708134837,-0.0120785363530914,BHI_10
Rhamnose,6,-0.036599166215945,-0.0489193669449095,BHI_10
Rhamnose,7,-0.059865189618781,-0.0826483746234373,BHI_10
Rhamnose,8,-0.0303433414126053,-0.0543424492812226,BHI_10
Ribose,1,0.253329609675235,0.115719239832205,BHI_10
Ribose,2,-0.0977202126854966,-0.0161573858528679,BHI_10
Ribose,3,0.0309952297864575,-0.130860854742384,BHI_10
Ribose,4,-0.0789712953030804,-0.0526409690091748,BHI_10
Ribose,5,0.0889244277308118,0.123622833128168,BHI_10
Ribose,6,-0.000259157641915208,-0.0333500959000737,BHI_10
Ribose,7,-0.100510690188998,-0.0743915426597354,BHI_10
Ribose,8,-0.00189134874928214,-0.076114940446744,BHI_10
Sorbitol,1,0.220879265834837,0.17530335382042,BHI_10
Sorbitol,2,-0.0922473293638554,-0.0119769136692362,BHI_10
Sorbitol,3,-0.120201218646094,-0.0113284321442078,BHI_10
Sorbitol,4,-0.0978086389993286,-0.0260802495617109,BHI_10
Sorbitol,5,-0.142010787907839,-0.0116606609108977,BHI_10
Sorbitol,6,-0.0995580376930441,-0.0463297544347199,BHI_10
Sorbitol,7,-0.120416859419137,-0.0656636013254209,BHI_10
Sorbitol,8,-0.0825269086055041,0.026362371127568,BHI_10
Succinate,1,0.404176014473917,-0.109633008758073,BHI_10
Succinate,2,0.0695626490670105,-0.055521193590461,BHI_10
Succinate,3,0.0796445156436164,-0.0793124514939291,BHI_10
Succinate,4,0.0446224104366552,0.0707018168983305,BHI_10
Succinate,5,0.0641397737631257,-0.0467401687003271,BHI_10
Succinate,6,0.0652329976802752,-0.0758447873277689,BHI_10
Succinate,7,0.104739138029822,-0.0906874613368442,BHI_10
Succinate,8,0.0976380983743926,-0.0568721108863552,BHI_10
Sucrose,1,0.105330809592389,0.196443717963338,BHI_10
Sucrose,2,-0.0124929833434982,0.160564898637487,BHI_10
Sucrose,3,-0.0207410965197861,0.107992698608995,BHI_10
Sucrose,4,0.0348078498809826,0.153018272682264,BHI_10
Sucrose,5,-0.033929339843929,0.231389862397158,BHI_10
Sucrose,6,-0.0016663120535431,0.117038971849849,BHI_10
Sucrose,7,-0.0646485972871194,0.0499964986353229,BHI_10
Sucrose,8,-0.0652630544925435,0.229674196538821,BHI_10
ddH2O,1,0.407865840163494,0.000446184445507277,BHI_10
ddH2O,2,0.0132571481601613,-0.0530009814268139,BHI_10
ddH2O,3,0.0644868989068272,-0.108424729249868,BHI_10
ddH2O,4,0.0775409960732879,-0.0859722185162147,BHI_10
ddH2O,5,0.0694449850853736,-0.0920283407689639,BHI_10
ddH2O,6,0.0283713093363994,-0.0890889934083302,BHI_10
ddH2O,7,0.090596686849417,-0.132196809332769,BHI_10
ddH2O,8,0.124767733628685,-0.0958425482164953,BHI_10
