"Family","Donor","CS","OD","OD_median","relab","relab_median","BaseMedia"
"Acidaminococcaceae",2,"Acetate",0.225,0.1965,0.002265007,0.005324712,"BHI_10"
"Acidaminococcaceae",3,"Acetate",0.159,0.1965,0.005324712,0.005324712,"BHI_10"
"Acidaminococcaceae",4,"Acetate",0.1965,0.1965,NA,0.005324712,"BHI_10"
"Acidaminococcaceae",5,"Acetate",0.178,0.1965,NA,0.005324712,"BHI_10"
"Acidaminococcaceae",6,"Acetate",0.1725,0.1965,0.007471041,0.005324712,"BHI_10"
"Acidaminococcaceae",7,"Acetate",0.2025,0.1965,0.067768987,0.005324712,"BHI_10"
"Acidaminococcaceae",8,"Acetate",0.2035,0.1965,0.002666856,0.005324712,"BHI_10"
"Acidaminococcaceae",2,"Arabinose",0.459,0.474,NA,0.00328499725,"BHI_10"
"Acidaminococcaceae",3,"Arabinose",0.4385,0.474,0.0025186525,0.00328499725,"BHI_10"
"Acidaminococcaceae",4,"Arabinose",0.474,0.474,NA,0.00328499725,"BHI_10"
"Acidaminococcaceae",5,"Arabinose",0.493,0.474,NA,0.00328499725,"BHI_10"
"Acidaminococcaceae",6,"Arabinose",0.5285,0.474,0.004051342,0.00328499725,"BHI_10"
"Acidaminococcaceae",7,"Arabinose",0.4635,0.474,0.0064808095,0.00328499725,"BHI_10"
"Acidaminococcaceae",8,"Arabinose",0.5355,0.474,0.0012994575,0.00328499725,"BHI_10"
"Acidaminococcaceae",2,"Citrate",0.2775,0.275,0.005545771,0.0116405165,"BHI_10"
"Acidaminococcaceae",3,"Citrate",0.2455,0.275,0.0023012195,0.0116405165,"BHI_10"
"Acidaminococcaceae",4,"Citrate",0.2705,0.275,NA,0.0116405165,"BHI_10"
"Acidaminococcaceae",5,"Citrate",0.29,0.275,NA,0.0116405165,"BHI_10"
"Acidaminococcaceae",6,"Citrate",0.265,0.275,0.0116405165,0.0116405165,"BHI_10"
"Acidaminococcaceae",7,"Citrate",0.275,0.275,0.023668063,0.0116405165,"BHI_10"
"Acidaminococcaceae",8,"Citrate",0.331,0.275,0.017510727,0.0116405165,"BHI_10"
"Acidaminococcaceae",2,"Fructose",0.419,0.472,0.0001728235,0.002385686,"BHI_10"
"Acidaminococcaceae",3,"Fructose",0.457,0.472,0.003180094,0.002385686,"BHI_10"
"Acidaminococcaceae",4,"Fructose",0.5045,0.472,NA,0.002385686,"BHI_10"
"Acidaminococcaceae",5,"Fructose",0.472,0.472,NA,0.002385686,"BHI_10"
"Acidaminococcaceae",6,"Fructose",0.474,0.472,0.005978254,0.002385686,"BHI_10"
"Acidaminococcaceae",7,"Fructose",0.4715,0.472,0.002385686,0.002385686,"BHI_10"
"Acidaminococcaceae",8,"Fructose",0.5845,0.472,0.000226685,0.002385686,"BHI_10"
"Acidaminococcaceae",2,"Fucose",0.2855,0.3895,NA,0.0046167645,"BHI_10"
"Acidaminococcaceae",3,"Fucose",0.3585,0.3895,0.002332741,0.0046167645,"BHI_10"
"Acidaminococcaceae",4,"Fucose",0.42,0.3895,NA,0.0046167645,"BHI_10"
"Acidaminococcaceae",5,"Fucose",0.4015,0.3895,NA,0.0046167645,"BHI_10"
"Acidaminococcaceae",6,"Fucose",0.386,0.3895,0.003884281,0.0046167645,"BHI_10"
"Acidaminococcaceae",7,"Fucose",0.3895,0.3895,0.005349248,0.0046167645,"BHI_10"
"Acidaminococcaceae",8,"Fucose",0.4085,0.3895,0.0112764405,0.0046167645,"BHI_10"
"Acidaminococcaceae",2,"Fumarate",0.2885,0.293,NA,0.001173135,"BHI_10"
"Acidaminococcaceae",3,"Fumarate",0.2655,0.293,0.000749746,0.001173135,"BHI_10"
"Acidaminococcaceae",4,"Fumarate",0.329,0.293,NA,0.001173135,"BHI_10"
"Acidaminococcaceae",5,"Fumarate",0.293,0.293,NA,0.001173135,"BHI_10"
"Acidaminococcaceae",6,"Fumarate",0.2685,0.293,0.021911359,0.001173135,"BHI_10"
"Acidaminococcaceae",7,"Fumarate",0.293,0.293,0.001588407,0.001173135,"BHI_10"
"Acidaminococcaceae",8,"Fumarate",0.3175,0.293,0.000757863,0.001173135,"BHI_10"
"Acidaminococcaceae",2,"Galacticol",0.27,0.363,NA,0.00571194325,"BHI_10"
"Acidaminococcaceae",3,"Galacticol",0.334,0.363,0.003986985,0.00571194325,"BHI_10"
"Acidaminococcaceae",4,"Galacticol",0.44,0.363,NA,0.00571194325,"BHI_10"
"Acidaminococcaceae",5,"Galacticol",0.458,0.363,NA,0.00571194325,"BHI_10"
"Acidaminococcaceae",6,"Galacticol",0.2565,0.363,0.00482589,0.00571194325,"BHI_10"
"Acidaminococcaceae",7,"Galacticol",0.42,0.363,0.0070861975,0.00571194325,"BHI_10"
"Acidaminococcaceae",8,"Galacticol",0.363,0.363,0.0065979965,0.00571194325,"BHI_10"
"Acidaminococcaceae",2,"Galactose",0.4275,0.459,NA,0.00239607075,"BHI_10"
"Acidaminococcaceae",3,"Galactose",0.4575,0.459,0.0026375635,0.00239607075,"BHI_10"
"Acidaminococcaceae",4,"Galactose",0.4945,0.459,NA,0.00239607075,"BHI_10"
"Acidaminococcaceae",5,"Galactose",0.5305,0.459,NA,0.00239607075,"BHI_10"
"Acidaminococcaceae",6,"Galactose",0.459,0.459,0.002154578,0.00239607075,"BHI_10"
"Acidaminococcaceae",7,"Galactose",0.433,0.459,0.002893379,0.00239607075,"BHI_10"
"Acidaminococcaceae",8,"Galactose",0.531,0.459,0.000555763,0.00239607075,"BHI_10"
"Acidaminococcaceae",2,"Glucose",0.424,0.491,NA,0.0014048515,"BHI_10"
"Acidaminococcaceae",3,"Glucose",0.4665,0.491,0.001046219,0.0014048515,"BHI_10"
"Acidaminococcaceae",4,"Glucose",0.503,0.491,NA,0.0014048515,"BHI_10"
"Acidaminococcaceae",5,"Glucose",0.5105,0.491,NA,0.0014048515,"BHI_10"
"Acidaminococcaceae",6,"Glucose",0.491,0.491,0.001763484,0.0014048515,"BHI_10"
"Acidaminococcaceae",7,"Glucose",0.381,0.491,0.00541566,0.0014048515,"BHI_10"
"Acidaminococcaceae",8,"Glucose",0.5805,0.491,0.000379615,0.0014048515,"BHI_10"
"Acidaminococcaceae",2,"Glycerol",0.2845,0.30725,NA,0.0058312975,"BHI_10"
"Acidaminococcaceae",3,"Glycerol",0.3405,0.30725,0.0058312975,0.0058312975,"BHI_10"
"Acidaminococcaceae",4,"Glycerol",0.3185,0.30725,NA,0.0058312975,"BHI_10"
"Acidaminococcaceae",5,"Glycerol",0.333,0.30725,NA,0.0058312975,"BHI_10"
"Acidaminococcaceae",6,"Glycerol",0.2635,0.30725,0.027832069,0.0058312975,"BHI_10"
"Acidaminococcaceae",7,"Glycerol",0.296,0.30725,0.004078411,0.0058312975,"BHI_10"
"Acidaminococcaceae",8,"Glycerol",NA,0.30725,NA,0.0058312975,"BHI_10"
"Acidaminococcaceae",2,"Lactose",0.471,0.4885,NA,0.003557385,"BHI_10"
"Acidaminococcaceae",3,"Lactose",0.479,0.4885,0.000579871,0.003557385,"BHI_10"
"Acidaminococcaceae",4,"Lactose",0.4885,0.4885,NA,0.003557385,"BHI_10"
"Acidaminococcaceae",5,"Lactose",0.489,0.4885,NA,0.003557385,"BHI_10"
"Acidaminococcaceae",6,"Lactose",0.527,0.4885,0.004068296,0.003557385,"BHI_10"
"Acidaminococcaceae",7,"Lactose",0.456,0.4885,0.003377341,0.003557385,"BHI_10"
"Acidaminococcaceae",8,"Lactose",0.544,0.4885,0.003737429,0.003557385,"BHI_10"
"Acidaminococcaceae",2,"Maltose",0.46,0.497,NA,0.001802791,"BHI_10"
"Acidaminococcaceae",3,"Maltose",0.497,0.497,0.001480806,0.001802791,"BHI_10"
"Acidaminococcaceae",4,"Maltose",0.504,0.497,NA,0.001802791,"BHI_10"
"Acidaminococcaceae",5,"Maltose",0.4965,0.497,NA,0.001802791,"BHI_10"
"Acidaminococcaceae",6,"Maltose",0.521,0.497,0.002124776,0.001802791,"BHI_10"
"Acidaminococcaceae",7,"Maltose",0.4605,0.497,0.004571264,0.001802791,"BHI_10"
"Acidaminococcaceae",8,"Maltose",0.5665,0.497,0.000639854,0.001802791,"BHI_10"
