Family,MAD,BaseMedia
Acidaminococcaceae,0.279741011815711,BHI_10
Alcaligenaceae,0.2280444947148,BHI_10
Bacteroidaceae,0.129654299515226,BHI_10
Bifidobacteriaceae,0.500417483448026,BHI_10
Christensenellaceae,0.18631735656527,BHI_10
Coriobacteriaceae,0.195847725393359,BHI_10
Desulfovibrionaceae,0.225252617747844,BHI_10
Enterobacteriaceae,0.111073759448617,BHI_10
Enterococcaceae,0.388408107443006,BHI_10
Erysipelotrichaceae,0.152515836534349,BHI_10
Eubacteriaceae,0.265399844163336,BHI_10
Family XI,0.381448546531582,BHI_10
Family XIII,0.161921314193904,BHI_10
Lachnospiraceae,0.170876137925161,BHI_10
Methanobacteriaceae,0.328255218343684,BHI_10
Peptococcaceae,0.125549450023199,BHI_10
Peptostreptococcaceae,0.324812533467518,BHI_10
Porphyromonadaceae,0.127671231811857,BHI_10
Prevotellaceae,0.310668144838469,BHI_10
Rikenellaceae,0.159650735478586,BHI_10
Ruminococcaceae,0.134942048295577,BHI_10
Streptococcaceae,0.603132329787106,BHI_10
Synergistaceae,0.472851990387983,BHI_10
Veillonellaceae,0.295233974835085,BHI_10
Verrucomicrobiaceae,0.130418771928227,BHI_10
