Family,CS,OD,Abs_Abundance,Type
Coriobacteriaceae,Acetate,0.188,3.68e-05,hmSIC
Coriobacteriaceae,Citrate,0.3175,7.04861733570506e-05,hmSIC
Coriobacteriaceae,Fructose,0.385,7.58013574356562e-05,hmSIC
Coriobacteriaceae,Glucose,0.403,0.000114135475190162,hmSIC
Coriobacteriaceae,Ribose,0.455,NaN,hmSIC
Coriobacteriaceae,Fucose,0.4085,7.14034779992059e-05,hmSIC
Coriobacteriaceae,Fumarate,0.3395,NaN,hmSIC
Coriobacteriaceae,Galacticol,0.243,7.43525480367586e-05,hmSIC
Coriobacteriaceae,Galactose,0.3795,6.71590122317101e-05,hmSIC
Coriobacteriaceae,Glycerol,0.3365,7.43034055727554e-05,hmSIC
Coriobacteriaceae,Arabinose,0.4735,0.000142345531634627,hmSIC
Coriobacteriaceae,Lactose,0.4635,NaN,hmSIC
Coriobacteriaceae,Maltose,0.4495,NaN,hmSIC
Coriobacteriaceae,Mannitol,0.4315,NaN,hmSIC
Coriobacteriaceae,Mannose,0.4355,5.19035232915583e-05,hmSIC
Coriobacteriaceae,Melibiose,0.398,6.26523692329015e-05,hmSIC
Coriobacteriaceae,Oxaloacetate,0.3015,0.00115282174366072,hmSIC
Coriobacteriaceae,Arabinose,0.3305,NaN,hmSIC
Coriobacteriaceae,Rhamnose,0.3395,0.000165970602592613,hmSIC
Coriobacteriaceae,Sorbitol,0.4245,0.000163671959973896,hmSIC
Coriobacteriaceae,Succinate,0.2025,6.83830504527919e-05,hmSIC
Coriobacteriaceae,Sucrose,0.378,0.00020676879921936,hmSIC
Coriobacteriaceae,ddH2O,0.2215,6.67743173752428e-05,hmSIC
Bacteroidaceae,Acetate,0.188,0.0553739096215649,hmSIC
Bacteroidaceae,Citrate,0.3175,0.0290287737841722,hmSIC
Bacteroidaceae,Fructose,0.385,0.0407281409537091,hmSIC
Bacteroidaceae,Glucose,0.403,0.0327422831514495,hmSIC
Bacteroidaceae,Ribose,0.455,0.0333344598560687,hmSIC
Bacteroidaceae,Fucose,0.4085,0.0469440528225605,hmSIC
Bacteroidaceae,Fumarate,0.3395,0.0272493176965904,hmSIC
Bacteroidaceae,Galacticol,0.243,0.0568216216216216,hmSIC
Bacteroidaceae,Galactose,0.3795,0.0478158902674562,hmSIC
Bacteroidaceae,Glycerol,0.3365,0.0595726565980528,hmSIC
Bacteroidaceae,Arabinose,0.4735,0.0407330039252161,hmSIC
Bacteroidaceae,Lactose,0.4635,0.0398628600652861,hmSIC
Bacteroidaceae,Maltose,0.4495,0.0324537206814905,hmSIC
Bacteroidaceae,Mannitol,0.4315,0.0274775932266443,hmSIC
Bacteroidaceae,Mannose,0.4355,0.0347925767054773,hmSIC
Bacteroidaceae,Melibiose,0.398,0.0312552321046802,hmSIC
Bacteroidaceae,Oxaloacetate,0.3015,0.0451269686176082,hmSIC
Bacteroidaceae,Arabinose,0.3305,0.0438001418255963,hmSIC
Bacteroidaceae,Rhamnose,0.3395,0.0383963475999954,hmSIC
Bacteroidaceae,Sorbitol,0.4245,0.0251735300584079,hmSIC
Bacteroidaceae,Succinate,0.2025,0.0581752222591212,hmSIC
Bacteroidaceae,Sucrose,0.378,0.0379145175605529,hmSIC
Bacteroidaceae,ddH2O,0.2215,0.0548807111625775,hmSIC
Porphyromonadaceae,Acetate,0.188,0.00163716023160504,hmSIC
Porphyromonadaceae,Citrate,0.3175,0.00194224630689395,hmSIC
Porphyromonadaceae,Fructose,0.385,0.00229683861860913,hmSIC
Porphyromonadaceae,Glucose,0.403,0.00411369268015093,hmSIC
Porphyromonadaceae,Ribose,0.455,0.00518655275250398,hmSIC
Porphyromonadaceae,Fucose,0.4085,0.00474241940192239,hmSIC
Porphyromonadaceae,Fumarate,0.3395,0.00197208293864117,hmSIC
Porphyromonadaceae,Galacticol,0.243,0.0029027027027027,hmSIC
Porphyromonadaceae,Galactose,0.3795,0.00731294299285858,hmSIC
Porphyromonadaceae,Glycerol,0.3365,0.00390790849259823,hmSIC
Porphyromonadaceae,Arabinose,0.4735,0.00304873098177123,hmSIC
Porphyromonadaceae,Lactose,0.4635,0.00454238120418659,hmSIC
Porphyromonadaceae,Maltose,0.4495,0.00665387261438304,hmSIC
Porphyromonadaceae,Mannitol,0.4315,0.00260668892941805,hmSIC
Porphyromonadaceae,Mannose,0.4355,0.00269472636334729,hmSIC
Porphyromonadaceae,Melibiose,0.398,0.010836015692045,hmSIC
Porphyromonadaceae,Oxaloacetate,0.3015,0.00198953212501981,hmSIC
Porphyromonadaceae,Arabinose,0.3305,0.00380924559831633,hmSIC
Porphyromonadaceae,Rhamnose,0.3395,0.0059514583268236,hmSIC
Porphyromonadaceae,Sorbitol,0.4245,0.00262246867991366,hmSIC
Porphyromonadaceae,Succinate,0.2025,0.00240319905364236,hmSIC
Porphyromonadaceae,Sucrose,0.378,0.0154291085972804,hmSIC
Porphyromonadaceae,ddH2O,0.2215,0.00345884965347458,hmSIC
Rikenellaceae,Acetate,0.188,0.000117276311943669,hmSIC
Rikenellaceae,Citrate,0.3175,0.000332041948835907,hmSIC
Rikenellaceae,Fructose,0.385,0.000382054044425257,hmSIC
Rikenellaceae,Glucose,0.403,0.000375138339736655,hmSIC
Rikenellaceae,Ribose,0.455,9.06527868141401e-05,hmSIC
Rikenellaceae,Fucose,0.4085,0.000319804458323872,hmSIC
Rikenellaceae,Fumarate,0.3395,NaN,hmSIC
Rikenellaceae,Galacticol,0.243,0.000253890562248996,hmSIC
Rikenellaceae,Galactose,0.3795,6.55986359420536e-05,hmSIC
Rikenellaceae,Glycerol,0.3365,5.74220201761525e-05,hmSIC
Rikenellaceae,Arabinose,0.4735,0.000326131727038784,hmSIC
Rikenellaceae,Lactose,0.4635,0.000302695365789243,hmSIC
Rikenellaceae,Maltose,0.4495,0.000145637628113443,hmSIC
Rikenellaceae,Mannitol,0.4315,0.000144779745229378,hmSIC
Rikenellaceae,Mannose,0.4355,0.000257227941167421,hmSIC
Rikenellaceae,Melibiose,0.398,NaN,hmSIC
Rikenellaceae,Oxaloacetate,0.3015,0.000246042762636988,hmSIC
Rikenellaceae,Arabinose,0.3305,0.000954996685210621,hmSIC
Rikenellaceae,Rhamnose,0.3395,NaN,hmSIC
Rikenellaceae,Sorbitol,0.4245,NaN,hmSIC
Rikenellaceae,Succinate,0.2025,0.000970422230132936,hmSIC
Rikenellaceae,Sucrose,0.378,0.000252375282444693,hmSIC
Rikenellaceae,ddH2O,0.2215,0.000407163166561167,hmSIC
Enterococcaceae,Acetate,0.188,0.025727770066194,hmSIC
Enterococcaceae,Citrate,0.3175,0.140599901274262,hmSIC
Enterococcaceae,Fructose,0.385,0.0622063374560409,hmSIC
Enterococcaceae,Glucose,0.403,0.111215057667593,hmSIC
Enterococcaceae,Ribose,0.455,0.221890298376613,hmSIC
Enterococcaceae,Fucose,0.4085,0.00452466013848638,hmSIC
Enterococcaceae,Fumarate,0.3395,0.0972839002434718,hmSIC
Enterococcaceae,Galacticol,0.243,0.0152422723475355,hmSIC
Enterococcaceae,Galactose,0.3795,0.0110099187389151,hmSIC
Enterococcaceae,Glycerol,0.3365,0.00958766899244645,hmSIC
Enterococcaceae,Arabinose,0.4735,0.00344086035821746,hmSIC
Enterococcaceae,Lactose,0.4635,0.0163571627583817,hmSIC
Enterococcaceae,Maltose,0.4495,0.182162338179002,hmSIC
Enterococcaceae,Mannitol,0.4315,0.0698999123812268,hmSIC
Enterococcaceae,Mannose,0.4355,0.0996765304232201,hmSIC
Enterococcaceae,Melibiose,0.398,0.0123051662697681,hmSIC
Enterococcaceae,Oxaloacetate,0.3015,0.040286150814034,hmSIC
Enterococcaceae,Arabinose,0.3305,0.0278799759027752,hmSIC
Enterococcaceae,Rhamnose,0.3395,0.00474211597691685,hmSIC
Enterococcaceae,Sorbitol,0.4245,0.106869508119353,hmSIC
Enterococcaceae,Succinate,0.2025,0.0134973800000135,hmSIC
Enterococcaceae,Sucrose,0.378,0.145105541169279,hmSIC
Enterococcaceae,ddH2O,0.2215,0.0159097927423844,hmSIC
Lachnospiraceae,Acetate,0.188,0.0137078581004637,hmSIC
Lachnospiraceae,Citrate,0.3175,0.0243339668329949,hmSIC
